Time (s),N (m)
0.5000,186322.8549
1.0000,186344.1579
1.5000,186337.2923
2.0000,186346.9310
2.5000,186344.5237
3.0000,186342.7488
3.5000,186340.5131
4.0000,186351.5117
4.5000,186349.2856
5.0000,186347.5294
5.5000,186336.8086
6.0000,186350.2850
6.5000,186346.8000
7.0000,186343.3137
8.0000,186328.5605
8.5000,186334.1710
9.0000,186340.7671
9.5000,186336.0726
10.0000,186336.5915
10.5000,186358.3073
11.0000,186342.1727
11.5000,186335.1922
12.0000,186325.6899
12.5000,186327.2301
13.0000,186341.0049
13.5000,186343.6183
14.0000,186344.2872
14.5000,186344.8127
15.0000,186344.9066
15.5000,186336.6005
16.0000,186345.9028
16.5000,186342.2590
17.0000,186340.5461
17.5000,186332.5115
18.0000,186344.9156
18.5000,186348.3299
19.5000,186343.4203
20.5000,186316.4171
21.0000,186347.1208
21.5000,186354.4973
22.0000,186352.7549
22.5000,186343.7479
23.0000,186335.9264
23.5000,186342.4495
24.0000,186338.2585
24.5000,186350.3844
25.0000,186337.6803
25.5000,186348.2468
26.0000,186349.8434
26.5000,186361.3311
27.0000,186366.0238
27.5000,186344.9821
28.0000,186341.2597
28.5000,186338.9084
29.0000,186339.5246
29.5000,186349.7461
30.0000,186329.8224
30.5000,186340.9694
31.0000,186334.2205
31.5000,186346.1645
32.0000,186332.4631
32.5000,186327.1960
33.0000,186352.4360
33.5000,186339.1038
34.0000,186339.0438
34.5000,186344.5735
35.0000,186346.4276
35.5000,186349.6767
36.5000,186342.8339
37.0000,186364.7811
38.0000,186342.5569
38.5000,186342.3801
39.0000,186354.0405
39.5000,186347.4842
40.0000,186334.8164
40.5000,186344.7657
41.0000,186341.1340
41.5000,186347.2897
42.0000,186344.9380
42.5000,186344.3080
43.0000,186340.7115
43.5000,186336.1947
44.0000,186338.0333
44.5000,186341.8235
45.0000,186348.7884
45.5000,186343.3737
46.0000,186358.6534
46.5000,186347.6334
47.0000,186340.4274
47.5000,186336.6738
48.0000,186345.7980
48.5000,186342.9507
49.0000,186332.8756
49.5000,186346.5916
50.0000,186343.1673
50.5000,186336.0779
51.0000,186354.0680
51.5000,186335.9037
52.0000,186351.8624
52.5000,186346.4601
53.5000,186341.8475
54.0000,186356.4285
55.0000,186346.2765
55.5000,186336.2424
56.0000,186350.8592
56.5000,186349.2557
57.0000,186344.4729
57.5000,186337.2445
58.0000,186336.9065
58.5000,186349.1415
59.0000,186342.6714
59.5000,186336.3077
60.0000,186343.1524
60.5000,186347.2288
61.0000,186341.4878
61.5000,186339.1776
62.0000,186344.2456
62.5000,186346.2587
63.0000,186347.7247
63.5000,186347.0255
64.0000,186342.6719
64.5000,186335.3231
65.0000,186340.8268
65.5000,186349.5973
66.0000,186330.9686
66.5000,186343.3721
67.0000,186345.9016
67.5000,186341.8418
