Pass number,MSL
1,35.73748716
2,35.95139646
3,35.87430463
4,35.92572206
5,35.94397564
6,35.98212302
7,35.9231636
8,35.89616557
9,35.94273651
10,36.03027834
11,35.83826581
12,35.94859019
13,35.87960744
14,35.89547096
15,35.77473354
16,35.83257567
17,35.87307044
18,35.90619348
19,35.87386198
20,35.79807553
21,35.87540411
22,35.86888832
23,35.97808595
24,35.94779153
25,35.93352713
26,35.92278791
27,35.83291118
28,35.90196952
29,35.93926743
30,35.8227636
31,35.89537065
32,35.85471513
33,35.83722231
34,35.89000366
35,35.85097257
36,35.88400409
37,35.79587064
38,35.88750979
39,35.81723972
40,35.87837932
41,35.93053843
42,35.93391743
43,35.86872193
44,35.88388304
45,35.94301736
46,35.84690912
47,35.9388896
48,35.8749769
49,35.87594291
50,35.98563882
51,35.98715605
52,35.90828213
53,35.88912756
54,35.87091582
55,35.81777835
56,35.89636643
57,35.94017959
58,35.90576455
59,35.96318559
60,35.92922199
61,35.84318961
62,35.92432511
63,35.82375682
64,35.83613615
65,35.87797535
66,35.90004374
67,35.87901682
68,35.98519076
69,35.85684527
70,35.88212663
71,35.88678398
72,35.7830682
73,35.94594758
74,36.0087847
75,35.94661777
76,35.87733885
77,35.97942372
78,35.87838348
79,35.84669733
80,35.87005571
81,35.98254517
82,35.89653127
83,35.85285788
84,35.84236207
85,35.9415321
86,35.86304183
87,35.87994723
88,35.90342857
89,35.92745417
90,35.92679503
91,35.81726135
92,35.869299
93,35.93549171
94,35.86589659
95,35.91455131
96,35.90194907
97,35.87558386
98,35.88522907
99,35.83302254
100,35.98131437
101,35.93277541
102,35.85651255
103,35.95613807
104,35.90987305
105,35.89868328
106,35.87440143
107,35.90197766
108,35.87551285
109,35.77206086
110,35.90924742
111,35.97013779
112,35.96238668
113,35.91454245
114,35.94201831
115,41.35717605
116,35.90447129
117,35.95987528
118,35.9999176
119,35.93215192
120,40.91784056
121,35.89382769
122,35.90314505
123,35.89913615
124,35.9226535
125,35.91070719
126,35.8481934
127,35.87389573
128,35.88503992
129,40.65502916
130,35.93250669
131,35.92621154
132,40.62165136
133,35.86544199
134,35.83412154
135,35.7730031
136,35.89804535
137,35.86059995
138,35.794115
139,35.89526636
140,35.90454153
