Pass number,MSL
16.000,35.833
27.000,35.833
99.000,35.833
134.000,35.834
64.000,35.836
33.000,35.837
11.000,35.838
84.000,35.842
61.000,35.843
79.000,35.847
46.000,35.847
126.000,35.848
35.000,35.851
83.000,35.853
32.000,35.855
102.000,35.857
69.000,35.857
137.000,35.861
86.000,35.863
133.000,35.865
94.000,35.866
43.000,35.869
22.000,35.869
92.000,35.869
80.000,35.870
54.000,35.871
17.000,35.873
19.000,35.874
127.000,35.874
3.000,35.874
106.000,35.874
48.000,35.875
21.000,35.875
108.000,35.876
97.000,35.876
49.000,35.876
76.000,35.877
65.000,35.878
40.000,35.878
78.000,35.878
67.000,35.879
13.000,35.880
87.000,35.880
70.000,35.882
44.000,35.884
36.000,35.884
128.000,35.885
98.000,35.885
71.000,35.887
38.000,35.888
53.000,35.889
34.000,35.890
121.000,35.894
139.000,35.895
31.000,35.895
14.000,35.895
8.000,35.896
56.000,35.896
82.000,35.897
136.000,35.898
105.000,35.899
123.000,35.899
66.000,35.900
96.000,35.902
28.000,35.902
107.000,35.902
122.000,35.903
88.000,35.903
116.000,35.904
140.000,35.905
58.000,35.906
18.000,35.906
52.000,35.908
110.000,35.909
104.000,35.910
125.000,35.911
113.000,35.915
95.000,35.915
124.000,35.923
26.000,35.923
7.000,35.923
62.000,35.924
4.000,35.926
131.000,35.926
90.000,35.927
89.000,35.927
60.000,35.929
41.000,35.931
119.000,35.932
130.000,35.933
101.000,35.933
25.000,35.934
42.000,35.934
93.000,35.935
47.000,35.939
29.000,35.939
57.000,35.940
85.000,35.942
114.000,35.942
9.000,35.943
45.000,35.943
5.000,35.944
73.000,35.946
75.000,35.947
24.000,35.948
12.000,35.949
2.000,35.951
103.000,35.956
117.000,35.960
