Select time,,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,,280,303,408,496,557,526,479,381,347,340,477
Andorra,,1,..,2,2,1,4,1,3,3,4,2
Austria,,190,218,282,422,389,466,518,430,471,496,513
Belgium,,382,351,467,637,679,730,674,632,604,658,528
Belarus,,17,29,31,49,39,33,30,22,31,12,15
Bosnia and Herzegovina,,48,70,90,101,89,80,106,84,66,59,47
Bulgaria,,234,205,235,288,472,407,431,484,456,478,659
Czech Republic,,69,46,85,110,104,120,135,156,149,174,170
Cyprus,,9,12,11,25,27,27,32,21,16,25,19
Croatia,,119,139,152,193,169,244,240,206,189,196,235
Denmark,,26,46,67,104,79,100,88,106,106,110,78
Estonia,,2,2,8,13,7,8,11,15,16,16,22
Finland,,26,35,32,65,61,48,42,63,50,60,51
France,,925,1204,1489,2103,2361,2593,3293,3102,3415,3753,3525
Germany,,1951,1436,2158,3189,3379,4142,4598,4686,4473,4319,4730
Greece,,72,49,87,97,109,86,97,77,63,84,78
Ireland,,47,75,101,178,151,171,185,225,286,264,217
Iceland,,2,2,14,9,1,3,8,8,5,11,8
Kosovo,,16,9,16,73,37,39,58,44,47,33,27
Latvia,,5,..,7,20,15,17,25,19,10,20,11
Liechtenstein,,6,5,6,4,4,3,2,1,3,5,6
Lithuania,,2,8,9,13,17,22,22,14,24,34,29
Luxembourg,,65,89,101,175,163,173,202,228,207,194,172
"Macedonia, The Former Yugoslav Republic of",,106,125,127,200,217,207,200,137,108,142,72
Malta,,11,33,43,59,103,160,197,245,262,304,251
"Moldova, Republic of",,234,310,395,523,683,690,660,622,552,537,360
Monaco,,37,53,65,101,127,187,181,87,67,48,48
Montenegro,,6,1,5,10,12,4,11,12,10,9,156
Norway,,48,28,38,58,61,69,86,89,89,97,100
Netherlands,,145,203,230,350,319,326,338,320,324,355,400
Poland,,488,506,604,649,749,780,798,812,775,885,1009
Portugal,,71,61,69,112,81,81,101,230,542,589,539
United Kingdom,,943,1117,1152,1850,2616,2702,3629,4840,4059,4273,5895
Romania,,2221,2058,2698,3166,4119,4644,4657,4780,4604,5113,7388
Russian Federation,,81,122,150,269,226,239,219,235,267,203,1420
San Marino,,52,42,70,66,76,75,81,77,70,69,84
Holy See (Vatican City State),,..,1,..,3,..,..,1,2,1,..,1
Serbia,,85,102,102,270,120,114,125,125,116,105,392
Slovakia,,62,77,83,104,116,107,118,105,92,116,187
Slovenia,,90,75,105,151,136,146,158,142,170,140,248
Spain,,688,794,779,1109,1148,1220,1388,1718,2062,1973,1638
Sweden,,60,65,97,144,126,138,161,151,160,176,128
Switzerland,,1232,1389,1623,2669,3142,3167,3443,3221,2801,2525,2705
Turkey,,32,37,55,84,96,101,84,114,80,86,82
Ukraine,,478,593,714,790,997,974,907,766,766,723,480
Hungary,,61,70,75,108,135,143,133,157,138,146,216
Algeria,,49,42,68,76,79,97,80,76,46,56,69
Angola,,8,22,17,15,18,13,11,11,10,12,15
Benin,,7,5,3,11,2,2,8,4,9,6,6
Botswana,,5,..,2,..,..,2,..,..,..,..,..
Burkina Faso,,6,12,8,9,14,17,9,16,12,20,22
Burundi,,4,5,2,8,6,5,6,3,6,2,3
Cameroon,,15,12,16,16,21,14,25,21,29,24,36
Cape Verde,,6,6,13,21,21,17,12,22,7,13,8
Central African Republic,,1,1,1,4,1,3,4,2,..,3,2
Chad,,..,2,1,2,1,1,..,1,1,2,..
Comoros,,..,..,1,..,..,..,..,1,1,..,..
Congo,,12,16,7,23,21,22,24,23,10,14,19
"Congo, The Democratic Republic of The",,8,13,19,24,18,21,16,24,18,9,31
Côte D'Ivoire,,15,25,24,27,29,32,42,33,43,23,70
Egypt,,92,132,101,187,129,128,155,158,150,122,375
Eritrea,,8,12,11,37,12,12,10,7,4,4,19
Ethiopia,,15,21,26,51,43,25,36,45,32,23,21
Gabon,,1,2,3,10,14,9,9,7,2,2,3
Gambia,,1,1,1,..,1,3,3,2,1,3,13
Ghana,,27,56,54,76,60,68,50,45,48,53,114
Djibouti,,..,..,1,..,1,2,5,1,2,2,2
Guinea,,..,2,3,2,5,8,3,2,5,11,17
Equatorial Guinea,,3,..,1,18,4,6,6,1,3,5,..
Guinea-Bissau,,1,..,1,1,1,3,2,2,1,4,4
Kenya,,27,31,47,51,68,42,36,41,32,31,36
Lesotho,,1,..,..,..,..,..,..,..,..,..,..
Liberia,,1,2,1,5,2,3,2,3,..,3,14
Libyan Arab Jamahiriya,,23,20,10,16,16,14,2,5,3,11,13
Madagascar,,5,16,11,21,25,12,16,18,14,15,13
Malawi,,2,..,3,2,2,1,4,1,..,..,1
Mali,,..,1,..,2,4,6,3,13,..,2,6
Morocco,,293,383,380,547,604,656,633,585,554,458,932
Mauritania,,1,..,1,1,2,2,1,..,..,1,3
Mauritius,,7,11,11,22,27,21,22,22,20,25,24
Mozambique,,13,13,25,11,12,15,14,16,13,19,9
Namibia,,..,1,..,3,2,4,4,..,1,1,3
Niger,,1,1,2,..,2,2,..,2,2,..,7
Nigeria,,36,43,93,134,103,73,81,90,49,63,188
Rwanda,,..,..,3,6,5,3,1,5,2,8,4
Sao Tome and Principe,,..,..,..,..,..,..,1,..,1,..,1
Senegal,,65,60,82,132,138,147,141,132,145,113,215
Seychelles,,2,6,2,6,4,6,6,12,17,4,3
Sierra Leone,,1,1,1,3,1,1,2,4,5,1,8
Somalia,,5,4,4,4,3,3,2,..,4,3,12
South Africa,,45,56,70,81,82,83,94,66,55,33,30
Sudan,,3,6,2,2,8,4,5,4,3,7,14
South Sudan (Repubblic of),,..,..,..,..,4,..,1,1,..,..,..
Swaziland,,2,2,2,..,1,..,1,..,..,2,..
"Tanzania, United Republic of",,10,12,14,21,11,24,25,32,15,23,23
Togo,,1,5,8,6,3,8,8,4,5,2,8
Tunisia,,103,138,171,272,253,258,312,263,280,258,416
Uganda,,14,9,16,19,9,6,12,15,14,10,4
Zambia,,3,4,11,7,11,9,10,3,4,6,5
Zimbabwe,,2,5,3,3,8,..,..,2,4,2,2
Afghanistan,,13,5,5,1,10,6,3,3,2,3,4
Saudi Arabia,,27,33,38,39,56,62,61,58,45,39,45
Armenia,,2,2,2,5,8,2,4,5,1,4,2
Azerbaijan,,2,2,5,3,12,11,7,4,6,8,10
Bahrain,,4,5,9,15,14,14,15,5,11,9,17
Bangladesh,,48,83,67,103,101,102,82,74,86,91,230
Bhutan,,..,1,..,..,..,..,..,..,..,..,..
Brunei Darussalam,,2,..,..,..,..,6,..,1,1,1,1
Cambodia,,2,4,7,8,7,12,11,7,6,13,4
China,,272,351,486,654,678,663,643,708,700,622,950
"Korea, Republic of",,32,22,43,56,65,50,48,50,29,33,34
"Korea, Democratic People's Republic of",,1,..,2,3,1,1,1,1,1,2,2
United Arab Emirates,,91,80,142,191,325,361,437,318,281,222,163
Philippines,,57,87,89,191,164,153,170,149,137,133,301
Georgia,,2,19,17,39,30,76,82,73,74,57,38
Japan,,113,113,122,140,142,175,136,140,137,163,102
Jordan,,13,8,11,19,12,18,15,23,12,15,9
India,,167,222,277,269,350,421,355,371,404,302,486
Indonesia,,15,18,28,53,44,40,41,39,27,39,27
"Iran, Islamic Republic of",,9,11,23,12,32,14,18,15,18,22,25
Iraq,,1,3,2,8,6,6,16,6,7,13,29
Israel,,21,39,46,43,63,50,57,70,41,40,29
Kazakhstan,,13,28,26,23,44,25,21,29,22,14,14
Kyrgyzstan,,2,2,..,7,2,2,2,4,5,2,1
Kuwait,,9,9,10,24,13,21,16,21,21,25,23
Lao People's Democratic Republic,,..,..,2,..,1,3,2,4,8,1,1
Lebanon,,12,31,26,29,22,29,19,24,30,21,20
Malaysia,,5,20,20,22,31,20,41,18,28,14,20
Maldives,,3,2,3,4,6,8,3,4,22,5,1
Mongolia,,..,1,..,1,1,3,3,2,..,1,..
Myanmar,,1,..,2,1,3,3,5,14,6,7,7
Nepal,,..,4,1,1,2,2,6,7,12,4,5
Oman,,6,6,11,7,14,17,30,7,20,14,25
Pakistan,,62,105,124,97,159,155,145,125,127,121,329
Qatar,,15,21,21,53,49,78,111,76,62,40,39
Singapore,,14,17,44,52,89,78,79,71,70,45,48
Syrian Arab Republic,,6,10,10,5,4,8,9,9,8,9,19
Sri Lanka,,70,93,137,174,206,189,171,188,162,157,205
Tajikistan,,1,..,..,..,..,..,..,1,..,..,1
"Taiwan, Province of China",,4,6,8,13,17,14,12,24,19,21,19
"Palestinian Territory, Occupied",,..,..,..,1,1,3,3,3,2,1,2
Thailand,,92,74,94,118,162,226,229,161,134,130,95
Timor-Leste,,..,..,1,..,..,..,..,..,2,..,..
Turkmenistan,,..,5,1,2,4,..,3,..,..,..,1
Uzbekistan,,4,5,4,9,1,3,3,4,4,1,3
Viet Nam,,14,20,25,13,26,23,29,26,27,19,32
Yemen,,1,2,1,2,3,2,..,2,2,..,2
Antigua and Barbuda,,4,..,2,2,2,5,5,5,5,6,7
Argentina,,309,285,312,482,480,351,294,252,233,223,243
Bahamas,,1,..,1,2,..,2,4,4,3,2,2
Barbados,,..,1,1,1,3,3,1,1,..,2,..
Belize,,..,..,..,..,1,1,3,1,..,3,1
"Bolivia, Plurinational State of",,46,22,35,49,37,64,57,53,47,30,46
Brazil,,835,770,897,1142,1342,1427,1603,1832,2576,3270,3196
Canada,,148,143,197,266,334,351,391,343,405,369,291
Chile,,33,36,62,55,85,80,84,54,91,58,43
Colombia,,75,72,121,126,180,190,176,167,141,119,110
Costa Rica,,27,45,63,79,101,79,67,56,54,34,41
Cuba,,54,38,62,69,110,123,172,157,158,134,147
Dominica,,2,..,..,..,..,1,..,1,2,1,2
Dominican Republic,,72,87,146,173,177,188,108,122,118,192,163
Ecuador,,91,106,129,176,248,225,221,132,135,114,176
El Salvador,,5,6,16,10,9,11,11,6,8,6,14
Jamaica,,..,3,1,1,3,6,1,..,2,3,1
Grenada,,2,..,2,3,..,..,1,1,1,..,1
Guatemala,,5,9,8,9,18,11,12,16,7,11,9
Guyana,,..,..,..,1,1,..,..,..,1,5,1
Haiti,,1,..,4,5,8,1,..,..,1,..,1
Honduras,,4,4,6,13,9,3,6,6,8,1,3
Mexico,,113,104,158,159,151,154,181,174,217,192,131
Nicaragua,,7,12,5,7,3,11,13,2,9,5,2
Panama,,6,23,48,66,60,95,105,80,49,39,24
Paraguay,,6,11,9,18,15,17,14,18,14,21,14
Peru,,75,152,176,155,262,298,236,217,193,167,191
Saint Kitts and Nevis,,..,..,..,2,..,2,..,..,..,..,..
Saint Lucia,,..,..,..,3,..,..,..,..,..,..,1
Saint Vincent and The Grenadines,,..,..,..,2,..,3,2,2,13,2,..
United States,,717,856,1125,1467,1588,1628,1693,1756,1635,1586,1247
Suriname,,..,1,1,1,..,..,..,..,..,..,..
Trinidad and Tobago,,..,..,2,2,2,3,4,2,2,3,2
Uruguay,,22,37,34,51,38,36,26,40,24,21,25
"Venezuela, Bolivarian Republic of",,183,109,172,230,282,247,208,129,83,106,109
Australia,,174,192,227,352,319,341,347,383,373,362,337
Fiji,,2,1,1,..,..,3,1,1,..,2,3
"Micronesia, Federated States of",,..,..,1,..,..,..,..,..,..,..,..
New Zealand,,14,17,29,25,32,36,25,52,48,41,25
Palau,,..,..,1,1,..,..,..,..,..,..,1
Papua New Guinea,,..,1,3,2,..,2,1,1,..,1,1
Samoa,,..,..,..,4,1,..,..,..,1,..,..
Tonga,,..,..,..,..,..,1,..,1,..,1,1
Vanuatu,,2,1,1,..,..,..,2,..,..,..,..
