Select time,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,184,211,212,244,380,302,282,248,192,160,133
Andorra,..,2,1,1,..,..,..,..,..,..,1
Austria,167,159,188,254,209,306,346,320,339,393,357
Belgium,277,286,496,538,645,684,700,648,580,603,465
Belarus,5,9,8,9,8,6,8,12,8,14,12
Bosnia and Herzegovina,32,54,52,48,60,40,40,35,23,30,20
Bulgaria,52,38,37,59,79,102,85,87,102,97,114
Czech Republic,34,44,53,53,57,87,67,87,85,68,55
Cyprus,5,5,..,5,13,11,15,8,5,7,9
Croatia,54,41,42,47,62,60,69,53,49,42,39
Denmark,31,52,57,58,64,73,79,90,69,88,48
Estonia,1,..,9,5,11,7,15,14,10,9,28
Finland,44,38,26,50,44,51,60,55,37,52,34
France,716,967,1314,1577,2177,2763,3583,3662,4240,4503,4309
Germany,1379,1208,1502,1980,2465,3457,4025,4290,4018,3722,3633
Greece,28,32,47,45,63,40,44,54,46,37,42
Ireland,26,61,89,79,116,107,125,169,179,127,113
Iceland,3,3,9,5,..,6,5,4,8,8,3
Kosovo,12,27,36,67,83,76,89,45,47,21,27
Latvia,4,6,3,5,8,22,14,14,4,10,10
Liechtenstein,1,2,3,1,1,3,..,1,7,2,..
Lithuania,13,3,5,13,14,15,13,16,19,17,17
Luxembourg,54,59,59,87,122,128,177,179,172,160,138
"Macedonia, The Former Yugoslav Republic of",82,136,119,111,206,194,171,120,62,82,81
Malta,8,12,18,19,55,77,114,145,115,144,103
"Moldova, Republic of",69,114,121,156,234,230,207,166,131,122,112
Monaco,16,26,35,43,40,60,55,30,25,13,4
Montenegro,2,..,5,4,4,..,2,1,9,..,11
Norway,37,29,43,45,53,87,81,86,69,73,88
Netherlands,130,154,163,223,228,241,241,227,251,254,240
Poland,208,180,237,211,231,288,247,244,233,262,241
Portugal,40,43,40,54,52,39,46,52,100,114,74
United Kingdom,634,874,939,1209,2077,2652,3964,5738,4422,4942,6734
Romania,1236,989,1199,1226,1719,2077,1957,1817,1757,1687,1851
Russian Federation,31,26,58,74,74,113,96,121,117,123,113
San Marino,26,30,33,35,37,62,34,52,33,42,37
Holy See (Vatican City State),..,..,..,..,3,..,1,..,..,..,..
Serbia,72,90,81,81,78,62,58,77,43,71,50
Slovakia,25,54,62,47,74,57,59,69,68,67,47
Slovenia,33,34,37,28,43,32,35,50,57,39,50
Spain,427,435,415,459,535,608,665,848,1042,936,792
Sweden,72,61,72,99,134,140,153,145,173,157,101
Switzerland,679,783,965,1195,1494,1823,1953,1990,1871,1720,1783
Turkey,14,32,27,58,71,83,69,70,53,43,47
Ukraine,88,105,112,140,157,152,144,151,136,136,115
Hungary,40,48,52,52,73,80,66,62,84,77,70
Algeria,52,48,54,59,64,65,89,75,63,30,18
Angola,..,6,5,11,5,6,4,6,6,6,3
Benin,..,10,2,1,2,4,3,1,2,..,6
Botswana,..,..,..,..,..,3,..,1,..,..,..
Burkina Faso,1,12,12,13,9,11,14,7,15,19,5
Burundi,..,..,1,..,..,4,3,4,2,..,..
Cameroon,7,6,10,7,11,17,9,3,21,20,14
Cape Verde,2,1,10,8,11,6,3,18,6,2,5
Central African Republic,..,2,..,..,..,..,..,1,..,..,..
Chad,..,..,..,1,..,..,..,5,..,3,1
Comoros,1,..,..,1,..,..,..,..,2,..,..
Congo,3,7,9,7,6,1,11,2,6,6,13
"Congo, The Democratic Republic of The",8,4,11,5,..,10,3,1,4,4,2
Côte D'Ivoire,8,24,34,22,30,23,30,36,22,20,30
Egypt,78,163,164,151,212,250,232,212,173,225,276
Eritrea,5,8,7,11,6,5,9,3,3,3,3
Ethiopia,7,25,13,15,7,21,24,12,22,12,11
Gabon,..,2,1,..,6,..,6,3,2,..,2
Gambia,..,..,..,..,2,1,..,1,..,..,8
Ghana,37,61,57,52,65,70,77,34,33,39,43
Djibouti,..,..,..,1,..,..,..,3,..,..,..
Guinea,1,5,5,4,3,6,9,7,4,7,3
Equatorial Guinea,2,..,..,3,..,..,..,..,..,..,2
Guinea-Bissau,..,..,..,4,..,2,2,3,..,3,2
Kenya,8,24,17,19,20,24,23,27,24,12,22
Liberia,..,..,..,1,..,2,2,..,2,1,1
Libyan Arab Jamahiriya,16,4,5,11,10,12,6,4,4,7,25
Madagascar,1,..,1,8,5,8,4,2,4,3,3
Malawi,1,..,3,..,..,3,2,1,1,..,1
Mali,..,..,2,4,3,2,1,7,4,3,7
Morocco,262,372,393,428,556,711,618,522,461,347,310
Mauritania,..,..,..,..,..,4,..,..,..,1,2
Mauritius,..,4,5,8,20,16,17,16,12,14,12
Mozambique,7,4,11,6,8,6,3,13,11,9,6
Namibia,..,..,..,..,..,..,3,3,..,..,1
Niger,..,..,..,2,3,1,..,1,4,..,..
Nigeria,34,44,44,62,62,47,65,63,38,35,48
Rwanda,..,1,5,1,2,..,..,..,4,2,1
Senegal,78,85,127,148,194,212,215,266,301,270,187
Seychelles,..,5,1,5,9,5,5,6,14,4,..
Sierra Leone,..,..,..,3,..,..,3,1,..,..,..
Somalia,7,7,8,3,3,7,1,4,1,..,6
South Africa,21,33,27,51,54,63,51,33,29,14,12
Sudan,9,2,1,3,5,..,5,1,7,1,5
Swaziland,..,..,1,1,1,2,..,..,..,..,..
"Tanzania, United Republic of",1,7,3,3,3,17,10,18,11,4,..
Togo,1,2,4,3,4,1,4,2,6,4,6
Tunisia,173,224,257,212,285,322,311,274,193,184,159
Uganda,2,6,13,8,5,2,8,11,4,1,8
Zambia,1,2,..,..,3,1,1,3,1,2,1
Zimbabwe,2,..,..,..,2,..,4,4,1,..,..
Afghanistan,1,4,5,3,5,5,4,2,6,1,4
Saudi Arabia,9,13,7,18,9,31,25,31,25,22,17
Armenia,..,1,..,1,1,2,1,5,3,2,5
Azerbaijan,1,..,..,2,11,2,5,5,7,5,5
Bahrain,..,1,6,6,6,21,10,4,12,5,1
Bangladesh,240,334,264,267,229,194,92,106,92,102,124
Bhutan,1,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,2,4,..,..,..,..
Cambodia,2,1,..,3,1,1,7,2,1,..,4
China,414,679,830,719,929,861,879,785,732,672,495
"Korea, Republic of",26,12,23,28,39,32,34,37,24,26,16
"Korea, Democratic People's Republic of",1,..,1,..,..,..,..,..,1,..,3
United Arab Emirates,78,63,70,106,206,216,270,166,175,141,108
Philippines,77,101,127,127,114,112,118,122,131,133,116
Georgia,..,5,10,9,12,10,16,24,30,19,12
Japan,81,71,78,87,96,78,110,98,85,92,63
Jordan,7,5,13,11,24,11,20,32,27,9,18
India,160,179,241,302,341,357,279,221,201,176,174
Indonesia,10,8,19,23,18,23,19,30,15,27,15
"Iran, Islamic Republic of",..,1,7,9,9,9,11,8,3,6,7
Iraq,3,4,3,4,2,..,2,3,5,3,14
Israel,13,31,41,33,46,28,63,62,22,40,12
Kazakhstan,3,11,26,8,11,13,11,26,27,16,8
Kyrgyzstan,1,1,..,1,..,1,2,..,5,4,3
Kuwait,7,8,4,13,13,16,13,5,7,8,13
Lao People's Democratic Republic,..,..,5,..,..,2,..,..,3,..,1
Lebanon,9,37,29,19,21,36,16,16,25,16,21
Malaysia,5,12,6,15,15,20,21,11,13,8,12
Maldives,..,..,..,2,..,..,..,1,..,..,1
Mongolia,..,..,..,..,..,1,1,2,..,..,..
Myanmar,5,..,..,1,1,1,3,7,1,2,3
Nepal,..,1,2,4,1,..,3,2,6,3,3
