Select time,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,1119,1321,1568,1885,2336,2078,1927,1631,1476,1332,1711
Andorra,5,3,3,7,3,5,2,5,6,7,9
Austria,911,999,1174,1717,1706,2024,2386,2228,2368,2750,2674
Belgium,1425,1285,1994,2459,2804,2928,2969,3018,2808,3075,2623
Belarus,37,68,64,102,88,85,69,68,72,53,51
Bosnia and Herzegovina,169,206,242,285,252,217,241,197,164,149,127
Bulgaria,502,422,465,596,863,890,909,983,995,1003,1334
Czech Republic,231,206,314,435,410,480,453,572,547,634,627
Cyprus,31,29,30,59,71,90,93,65,54,68,67
Croatia,326,339,351,477,419,526,538,447,452,480,521
Denmark,168,244,308,418,468,515,529,676,630,742,607
Estonia,17,12,34,51,48,51,66,64,53,54,96
Finland,188,174,168,260,267,227,253,278,231,294,236
France,4045,4735,6188,7819,9514,10334,12698,12655,14243,15489,14181
Germany,7436,5969,8362,12055,13708,17236,20249,21999,21340,20795,21578
Greece,215,208,266,285,388,273,308,310,261,280,292
Ireland,378,445,663,853,1039,1171,1296,1932,2469,2346,2204
Iceland,19,13,38,24,9,23,28,38,40,49,34
Kosovo,76,105,124,308,271,270,299,220,199,125,105
Latvia,25,21,22,49,46,71,68,64,42,62,44
Liechtenstein,18,12,23,16,13,12,11,8,15,13,14
Lithuania,56,35,46,73,70,75,93,68,93,102,105
Luxembourg,333,381,476,690,776,923,1031,1120,1108,1027,985
"Macedonia, The Former Yugoslav Republic of",376,479,456,608,746,698,673,469,357,405,327
Malta,75,90,147,177,331,570,746,1087,1144,1387,1145
"Moldova, Republic of",516,805,938,1318,1731,1808,1559,1389,1218,1246,1021
Monaco,105,168,197,274,319,432,433,225,167,115,98
Montenegro,21,1,21,28,28,15,24,29,32,27,338
Norway,190,173,210,262,336,436,444,446,404,482,458
Netherlands,817,900,1140,1423,1611,1707,1802,1940,2113,2331,2958
Poland,1472,1338,1625,1652,1824,1917,1836,1837,1833,2051,2279
Portugal,264,281,263,320,292,291,359,753,1740,1926,1707
United Kingdom,5610,5901,6148,8389,14056,14991,19162,26812,22480,22428,32190
Romania,7758,6428,7702,9194,11034,12764,12186,11665,11153,12033,17195
Russian Federation,227,292,361,629,511,628,597,643,668,566,2705
San Marino,198,206,264,293,269,291,260,259,228,232,227
Holy See (Vatican City State),2,5,3,5,5,1,3,2,3,2,7
Serbia,292,334,334,690,339,341,329,345,289,320,921
Slovakia,277,322,399,410,414,358,400,372,350,420,483
Slovenia,226,212,254,282,319,338,342,376,361,329,558
Spain,3353,3482,3466,4096,4537,4701,5003,6350,7965,7952,6787
Sweden,335,303,422,600,645,716,852,861,987,885,776
Switzerland,4590,5061,6298,8968,10537,11051,12167,12060,11157,10481,10729
Turkey,85,151,175,316,326,386,337,355,245,264,266
Ukraine,879,1054,1246,1458,1786,1788,1641,1500,1524,1578,1256
Hungary,230,249,306,344,445,467,412,468,453,511,560
Algeria,166,167,192,202,215,215,243,222,160,137,134
Angola,17,46,39,51,42,39,28,31,36,28,29
Benin,10,20,11,24,11,14,19,7,16,11,38
Botswana,10,..,5,2,..,6,1,3,2,2,4
Burkina Faso,22,45,36,55,45,45,44,58,46,58,96
Burundi,6,10,18,17,12,17,18,8,10,9,6
Cameroon,40,41,57,43,67,50,57,45,83,77,168
Cape Verde,19,13,35,47,55,36,29,65,28,26,30
Central African Republic,3,8,5,6,3,4,8,6,8,7,7
Chad,..,2,3,7,6,6,3,13,1,8,8
Comoros,3,..,1,2,..,..,..,1,3,..,..
Congo,36,37,37,68,50,40,66,39,38,29,68
"Congo, The Democratic Republic of The",32,29,53,76,48,58,43,55,53,31,62
Côte D'Ivoire,47,84,90,112,109,100,119,138,125,92,489
Egypt,326,486,484,667,598,629,672,656,609,627,1360
Eritrea,33,30,41,81,34,39,44,37,20,22,64
Ethiopia,48,79,60,125,116,96,109,103,87,68,85
Gabon,3,7,7,14,36,18,27,17,16,3,8
Gambia,2,2,1,1,5,5,23,28,60,39,399
Ghana,114,179,176,216,210,205,201,130,150,170,471
Djibouti,1,..,2,2,5,5,7,7,4,4,2
Guinea,5,13,13,11,19,21,22,26,39,45,255
Equatorial Guinea,8,..,2,38,14,13,8,2,4,11,3
Guinea-Bissau,2,1,4,8,4,10,14,10,6,8,50
Kenya,97,98,119,135,179,140,115,136,108,97,96
Lesotho,1,..,..,..,..,..,..,..,2,..,..
Liberia,2,4,3,18,8,7,12,8,5,5,30
Libyan Arab Jamahiriya,58,39,26,56,43,41,16,20,41,48,76
Madagascar,13,25,22,55,49,37,47,31,38,35,31
Malawi,8,2,12,5,4,8,9,4,3,4,3
Mali,2,5,7,14,11,21,23,67,51,38,454
Morocco,1192,1640,1642,2054,2263,2580,2352,2034,1898,1654,2643
Mauritania,2,..,2,2,4,10,4,..,..,2,21
Mauritius,13,24,35,58,78,60,64,62,51,63,67
Mozambique,40,31,62,44,56,48,47,78,48,45,35
Namibia,..,3,3,4,3,5,11,8,4,2,8
Niger,1,2,3,4,7,5,..,5,12,3,37
Nigeria,131,187,229,343,286,235,258,286,221,209,1400
Rwanda,2,3,26,13,13,6,7,11,19,13,8
Sao Tome and Principe,..,..,..,2,1,..,1,..,4,..,2
Senegal,198,217,288,441,475,497,500,562,615,541,1067
Seychelles,5,14,7,21,25,16,19,26,38,12,6
Sierra Leone,1,3,4,9,2,2,10,9,10,3,32
Somalia,25,24,22,27,20,50,58,17,36,17,111
South Africa,143,185,209,242,261,292,291,217,171,111,93
Sudan,19,20,10,16,19,5,21,8,22,18,42
South Sudan (Repubblic of),..,..,..,..,7,7,1,6,3,..,1
Swaziland,4,4,6,2,3,5,1,1,1,5,..
"Tanzania, United Republic of",21,28,31,39,35,95,68,93,42,43,42
Togo,9,16,16,27,16,16,21,12,22,15,67
