Ward name,Old code,New code,Population - 2015,Median Household income estimate (2012/13),% area that is open space - 2014
City of London,00AA,E09000001,8100,63620,"18,6"
Barking and Dagenham - Abbey,00ABFX,E05000026,14750,33920,"21,9"
Barking and Dagenham - Alibon,00ABFY,E05000027,10600,32470,"20,6"
Barking and Dagenham - Becontree,00ABFZ,E05000028,12700,33000,"1,9"
Barking and Dagenham - Chadwell Heath,00ABGA,E05000029,10400,33920,56
Barking and Dagenham - Eastbrook,00ABGB,E05000030,10750,37400,"50,4"
Barking and Dagenham - Eastbury,00ABGC,E05000031,11900,32870,"17,1"
Barking and Dagenham - Gascoigne,00ABGD,E05000032,15850,29480,"20,8"
Barking and Dagenham - Goresbrook,00ABGE,E05000033,11450,33250,"14,1"
Barking and Dagenham - Heath,00ABGF,E05000034,11150,31340,"36,3"
Barking and Dagenham - Longbridge,00ABGG,E05000035,11900,40570,"28,3"
Barking and Dagenham - Mayesbrook,00ABGH,E05000036,10550,31530,"44,8"
Barking and Dagenham - Parsloes,00ABGJ,E05000037,10050,31860,"17,4"
Barking and Dagenham - River,00ABGK,E05000038,11950,33490,"20,5"
Barking and Dagenham - Thames,00ABGL,E05000039,18950,32580,"43,8"
Barking and Dagenham - Valence,00ABGM,E05000040,10250,33200,"11,8"
Barking and Dagenham - Village,00ABGN,E05000041,11050,31960,47
Barking and Dagenham - Whalebone,00ABGP,E05000042,11150,37180,16
Barnet - Brunswick Park,00ACFX,E05000043,17550,39800,28
Barnet - Burnt Oak,00ACFY,E05000044,19650,29400,"18,9"
Barnet - Childs Hill,00ACFZ,E05000045,21100,38960,"15,1"
Barnet - Colindale,00ACGA,E05000046,26600,30170,"19,8"
Barnet - Coppetts,00ACGB,E05000047,18050,38090,"40,3"
Barnet - East Barnet,00ACGC,E05000048,17100,39870,"34,8"
Barnet - East Finchley,00ACGD,E05000049,16850,41160,"37,8"
Barnet - Edgware,00ACGE,E05000050,17600,38410,54
Barnet - Finchley Church End,00ACGF,E05000051,16800,45030,"13,7"
Barnet - Garden Suburb,00ACGG,E05000052,16950,53090,"24,2"
Barnet - Golders Green,00ACGH,E05000053,24950,40800,"14,6"
Barnet - Hale,00ACGJ,E05000054,18250,38590,"48,8"
Barnet - Hendon,00ACGK,E05000055,19300,38530,"16,4"
Barnet - High Barnet,00ACGL,E05000056,16300,43940,"47,9"
Barnet - Mill Hill,00ACGM,E05000057,20000,41920,59
Barnet - Oakleigh,00ACGN,E05000058,16650,41670,"15,3"
Barnet - Totteridge,00ACGP,E05000059,16900,46150,"57,7"
Barnet - Underhill,00ACGQ,E05000060,17300,37040,"43,8"
Barnet - West Finchley,00ACGR,E05000061,17500,42050,"13,4"
Barnet - West Hendon,00ACGS,E05000062,19250,35090,32
Barnet - Woodhouse,00ACGT,E05000063,18700,38220,"19,3"
Bexley - Barnehurst,00ADGA,E05000064,10600,38200,36
Bexley - Belvedere,00ADGB,E05000065,12400,33510,"33,1"
Bexley - Blackfen and Lamorbey,00ADGC,E05000066,10700,40780,"9,5"
Bexley - Blendon and Penhill,00ADGD,E05000067,11000,40340,"13,8"
Bexley - Brampton,00ADGE,E05000068,10600,40790,"9,1"
Bexley - Christchurch,00ADGF,E05000069,11350,40190,"17,3"
Bexley - Colyers,00ADGG,E05000070,11400,34450,13
Bexley - Crayford,00ADGH,E05000071,11950,34900,"41,7"
Bexley - Cray Meadows,00ADGJ,E05000072,11350,35530,"61,7"
Bexley - Danson Park,00ADGK,E05000073,11000,38580,"36,4"
Bexley - East Wickham,00ADGL,E05000074,11000,36260,"26,8"
Bexley - Erith,00ADGM,E05000075,12800,33160,"44,6"
Bexley - Falconwood and Welling,00ADGN,E05000076,10950,39000,"0,7"
Bexley - Lesnes Abbey,00ADGP,E05000077,11450,35630,37
Bexley - Longlands,00ADGQ,E05000078,10600,40880,"28,9"
Bexley - North End,00ADGR,E05000079,11850,29930,"65,3"
Bexley - Northumberland Heath,00ADGS,E05000080,10700,37130,"13,6"
Bexley - St. Mary's,00ADGT,E05000081,10550,44010,"46,8"
Bexley - St. Michael's,00ADGU,E05000082,11250,38510,"5,9"
Bexley - Sidcup,00ADGW,E05000083,11000,41220,"25,8"
Bexley - Thamesmead East,00ADGX,E05000084,12550,32100,"70,5"
Brent - Alperton,00AEGJ,E05000085,15300,31250,"17,7"
Brent - Barnhill,00AEGK,E05000086,16250,34630,"31,6"
Brent - Brondesbury Park,00AEGL,E05000087,13300,40020,"9,7"
Brent - Dollis Hill,00AEGM,E05000088,13650,30990,"26,6"
Brent - Dudden Hill,00AEGN,E05000089,15750,33470,"11,6"
Brent - Fryent,00AEGP,E05000090,14150,35590,"39,3"
Brent - Harlesden,00AEGQ,E05000091,17500,27030,"8,9"
Brent - Kensal Green,00AEGR,E05000092,15050,34640,"6,9"
Brent - Kenton,00AEGS,E05000093,12550,42190,17
Brent - Kilburn,00AEGT,E05000094,17550,34270,"11,1"
Brent - Mapesbury,00AEGU,E05000095,16000,36830,"9,6"
Brent - Northwick Park,00AEGW,E05000096,13300,41100,32
Brent - Preston,00AEGX,E05000097,15750,35960,"19,2"
Brent - Queens Park,00AEGY,E05000098,15500,42880,19
Brent - Queensbury,00AEGZ,E05000099,16800,35110,"13,7"
Brent - Stonebridge,00AEHA,E05000100,17600,25800,"16,2"
Brent - Sudbury,00AEHB,E05000101,15250,33530,"34,6"
Brent - Tokyngton,00AEHC,E05000102,18900,33130,"19,8"
Brent - Welsh Harp,00AEHD,E05000103,14000,31620,34
Brent - Wembley Central,00AEHE,E05000104,16150,31040,"20,1"
Brent - Willesden Green,00AEHF,E05000105,15950,31390,"36,8"
Bromley - Bickley,00AFGD,E05000106,15450,47190,"21,5"
Bromley - Biggin Hill,00AFGE,E05000107,10250,40930,"72,7"
Bromley - Bromley Common and Keston,00AFGF,E05000108,16250,40510,"58,6"
Bromley - Bromley Town,00AFGG,E05000109,18600,43460,"17,6"
Bromley - Chelsfield and Pratts Bottom,00AFGH,E05000110,14800,44850,"68,4"
Bromley - Chislehurst,00AFGJ,E05000111,15400,46250,"59,1"
Bromley - Clock House,00AFGK,E05000112,16050,41650,"16,2"
Bromley - Copers Cope,00AFGL,E05000113,15950,43170,"16,7"
Bromley - Cray Valley East,00AFGM,E05000114,15850,32230,"76,2"
Bromley - Cray Valley West,00AFGN,E05000115,17150,31740,"23,4"
Bromley - Crystal Palace,00AFGP,E05000116,12950,34060,"49,2"
Bromley - Darwin,00AFGQ,E05000117,5300,42810,"88,5"
Bromley - Farnborough and Crofton,00AFGR,E05000118,14850,44590,"48,9"
Bromley - Hayes and Coney Hall,00AFGS,E05000119,16250,45660,"68,9"
Bromley - Kelsey and Eden Park,00AFGT,E05000120,16250,44700,"42,7"
Bromley - Mottingham and Chislehurst North,00AFGU,E05000121,10300,32330,44
Bromley - Orpington,00AFGW,E05000122,15650,38090,"24,6"
Bromley - Penge and Cator,00AFGX,E05000123,17900,36090,"24,9"
Bromley - Petts Wood and Knoll,00AFGY,E05000124,13950,48530,"24,3"
Bromley - Plaistow and Sundridge,00AFGZ,E05000125,15600,39460,"40,3"
Bromley - Shortlands,00AFHA,E05000126,10150,48020,3
Bromley - West Wickham,00AFHB,E05000127,15250,46210,"31,8"
Camden - Belsize,00AGGD,E05000128,12800,52680,"1,3"
Camden - Bloomsbury,00AGGE,E05000129,11700,40340,"9,2"
Camden - Camden Town with Primrose Hill,00AGGF,E05000130,13100,45840,"15,2"
Camden - Cantelowes,00AGGG,E05000131,12450,39060,"7,4"
Camden - Fortune Green,00AGGH,E05000132,12100,46800,"18,4"
Camden - Frognal and Fitzjohns,00AGGJ,E05000133,12250,60310,"5,7"
Camden - Gospel Oak,00AGGK,E05000134,11500,39990,"15,9"
Camden - Hampstead Town,00AGGL,E05000135,11400,62840,"53,9"
Camden - Haverstock,00AGGM,E05000136,12750,35730,"8,2"
Camden - Highgate,00AGGN,E05000137,11150,47840,"65,2"
Camden - Holborn and Covent Garden,00AGGP,E05000138,13700,40180,"7,5"
Camden - Kentish Town,00AGGQ,E05000139,13850,41230,"5,3"
Camden - Kilburn,00AGGR,E05000140,12350,34730,"13,4"
Camden - King's Cross,00AGGS,E05000141,12550,32890,"13,5"
Camden - Regent's Park,00AGGT,E05000142,14700,34260,27
Camden - St. Pancras and Somers Town,00AGGU,E05000143,16200,30500,"13,6"
Camden - Swiss Cottage,00AGGW,E05000144,13200,50340,"14,5"
Camden - West Hampstead,00AGGX,E05000145,12550,46290,"9,4"
Croydon - Addiscombe,00AHGE,E05000146,17750,38070,"2,3"
Croydon - Ashburton,00AHGF,E05000147,15150,38600,"22,2"
Croydon - Bensham Manor,00AHGG,E05000148,16600,33530,"7,8"
Croydon - Broad Green,00AHGH,E05000149,20050,31000,"4,6"
Croydon - Coulsdon East,00AHGJ,E05000150,12700,42660,"56,8"
Croydon - Coulsdon West,00AHGK,E05000151,14150,46610,"17,1"
Croydon - Croham,00AHGL,E05000152,16200,42260,"19,1"
Croydon - Fairfield,00AHGM,E05000153,21750,39130,"17,5"
Croydon - Fieldway,00AHGN,E05000154,11850,26720,"22,9"
Croydon - Heathfield,00AHGP,E05000155,13600,39770,"61,3"
Croydon - Kenley,00AHGQ,E05000156,15650,44160,"39,6"
Croydon - New Addington,00AHGR,E05000157,11250,28770,"31,2"
Croydon - Norbury,00AHGS,E05000158,17100,36810,"15,8"
Croydon - Purley,00AHGT,E05000159,15550,44600,"3,8"
Croydon - Sanderstead,00AHGU,E05000160,13200,47030,"48,6"
Croydon - Selhurst,00AHGW,E05000161,18550,31220,"18,3"
Croydon - Selsdon and Ballards,00AHGX,E05000162,12200,45320,"55,2"
Croydon - Shirley,00AHGY,E05000163,14700,39500,16
Croydon - South Norwood,00AHGZ,E05000164,16900,34430,"17,5"
Croydon - Thornton Heath,00AHHA,E05000165,16900,33720,"11,2"
Croydon - Upper Norwood,00AHHB,E05000166,16600,37430,"19,4"
Croydon - Waddon,00AHHC,E05000167,17650,34630,"32,7"
Croydon - West Thornton,00AHHD,E05000168,18000,32400,"18,7"
Croydon - Woodside,00AHHE,E05000169,17100,33890,"33,3"
Ealing - Acton Central,00AJGC,E05000170,15850,36500,"24,2"
Ealing - Cleveland,00AJGD,E05000171,14850,41730,"34,7"
Ealing - Dormers Wells,00AJGE,E05000172,14150,29350,"47,3"
Ealing - Ealing Broadway,00AJGF,E05000173,15550,45540,"6,1"
Ealing - Ealing Common,00AJGG,E05000174,14200,43600,"22,2"
Ealing - East Acton,00AJGH,E05000175,19800,32930,"19,6"
Ealing - Elthorne,00AJGJ,E05000176,15100,38970,"34,2"
Ealing - Greenford Broadway,00AJGK,E05000177,17750,30500,"26,2"
Ealing - Greenford Green,00AJGL,E05000178,14500,35420,"22,6"
Ealing - Hanger Hill,00AJGM,E05000179,15750,44760,"26,7"
Ealing - Hobbayne,00AJGN,E05000180,14300,36220,"36,1"
Ealing - Lady Margaret,00AJGP,E05000181,14100,32520,"19,4"
Ealing - Northfield,00AJGQ,E05000182,13700,48480,"25,6"
Ealing - North Greenford,00AJGR,E05000183,14900,36480,"53,3"
Ealing - Northolt Mandeville,00AJGS,E05000184,15350,31950,"34,5"
Ealing - Northolt West End,00AJGT,E05000185,15200,28550,"56,3"
Ealing - Norwood Green,00AJGU,E05000186,14200,29020,"54,5"
Ealing - Perivale,00AJGW,E05000187,15450,36040,"38,3"
Ealing - South Acton,00AJGX,E05000188,16200,34300,"17,5"
Ealing - Southall Broadway,00AJGY,E05000189,16200,27930,"14,1"
Ealing - Southall Green,00AJGZ,E05000190,15200,27150,"16,3"
Ealing - Southfield,00AJHA,E05000191,13600,50170,"14,3"
Ealing - Walpole,00AJHB,E05000192,13500,46240,"20,1"
Enfield - Bowes,00AKGL,E05000193,14550,36300,"15,3"
Enfield - Bush Hill Park,00AKGM,E05000194,14150,41800,"29,6"
Enfield - Chase,00AKGN,E05000195,14000,36350,"81,5"
Enfield - Cockfosters,00AKGP,E05000196,14100,43570,"68,8"
Enfield - Edmonton Green,00AKGQ,E05000197,18350,26010,"33,2"
Enfield - Enfield Highway,00AKGR,E05000198,16350,29450,"40,6"
Enfield - Enfield Lock,00AKGS,E05000199,17000,30240,"39,6"
Enfield - Grange,00AKGT,E05000200,13300,45960,"27,4"
Enfield - Haselbury,00AKGU,E05000201,16500,29600,27
Enfield - Highlands,00AKGW,E05000202,13550,43540,"56,4"
Enfield - Jubilee,00AKGX,E05000203,14600,30800,"60,6"
Enfield - Lower Edmonton,00AKGY,E05000204,16700,28110,"40,6"
Enfield - Palmers Green,00AKGZ,E05000205,15650,37970,"15,4"
Enfield - Ponders End,00AKHA,E05000206,17050,28560,"44,5"
Enfield - Southbury,00AKHB,E05000207,14950,33260,"29,3"
Enfield - Southgate,00AKHC,E05000208,14800,41520,"27,1"
Enfield - Southgate Green,00AKHD,E05000209,14400,42750,"20,6"
Enfield - Town,00AKHE,E05000210,15150,42300,16
Enfield - Turkey Street,00AKHF,E05000211,14700,28960,"30,5"
Enfield - Upper Edmonton,00AKHG,E05000212,18600,28480,"17,6"
Enfield - Winchmore Hill,00AKHH,E05000213,13700,45880,"25,2"
Greenwich - Abbey Wood,00ALGP,E05000214,16200,31540,44
Greenwich - Blackheath Westcombe,00ALGQ,E05000215,13300,49160,"15,4"
Greenwich - Charlton,00ALGR,E05000216,14650,37940,"31,5"
Greenwich - Coldharbour and New Eltham,00ALGS,E05000217,13450,38390,20
Greenwich - Eltham North,00ALGT,E05000218,12900,43120,"24,6"
Greenwich - Eltham South,00ALGU,E05000219,13100,37120,"54,6"
Greenwich - Eltham West,00ALGW,E05000220,12500,34250,"30,5"
Greenwich - Glyndon,00ALGX,E05000221,18500,31690,"32,6"
Greenwich - Greenwich West,00ALGY,E05000222,18450,42270,49
Greenwich - Kidbrooke with Hornfair,00ALGZ,E05000223,14650,35740,"28,2"
Greenwich - Middle Park and Sutcliffe,00ALHA,E05000224,13900,35340,37
Greenwich - Peninsula,00ALHB,E05000225,24500,41840,"33,7"
Greenwich - Plumstead,00ALHC,E05000226,17050,32390,41
Greenwich - Shooters Hill,00ALHD,E05000227,13750,39030,"57,2"
Greenwich - Thamesmead Moorings,00ALHE,E05000228,22200,34450,"55,4"
Greenwich - Woolwich Common,00ALHF,E05000229,19550,30260,"39,4"
Greenwich - Woolwich Riverside,00ALHG,E05000230,23050,33540,"34,9"
Hackney - Brownswood,00AMGA,E05000231,13300,40070,"25,6"
Hackney - Cazenove,00AMGB,E05000232,13800,38130,"12,8"
Hackney - Chatham,00AMGC,E05000233,13950,32510,"20,4"
Hackney - Clissold,00AMGD,E05000234,12650,45450,"12,3"
Hackney - Dalston,00AMGE,E05000235,15950,38230,"17,1"
Hackney - De Beauvoir,00AMGF,E05000236,15200,39060,"14,2"
Hackney - Hackney Central,00AMGG,E05000237,13200,35260,"14,1"
Hackney - Hackney Downs,00AMGH,E05000238,13400,35700,"33,8"
Hackney - Haggerston,00AMGJ,E05000239,15250,36080,"19,1"
Hackney - Hoxton,00AMGK,E05000240,16300,34970,"27,6"
Hackney - King's Park,00AMGL,E05000241,11650,31970,"66,9"
Hackney - Leabridge,00AMGM,E05000242,14600,35110,23
Hackney - Lordship,00AMGN,E05000243,12700,39940,"33,6"
Hackney - New River,00AMGP,E05000244,14500,35590,28
Hackney - Queensbridge,00AMGQ,E05000245,14450,36720,"15,6"
Hackney - Springfield,00AMGR,E05000246,12800,33570,"26,5"
Hackney - Stoke Newington Central,00AMGS,E05000247,13050,42400,"13,3"
Hackney - Victoria,00AMGT,E05000248,13750,37350,21
Hackney - Wick,00AMGU,E05000249,12350,32890,"48,8"
Hammersmith and Fulham - Addison,00ANGA,E05000250,11650,43970,"0,3"
Hammersmith and Fulham - Askew,00ANGB,E05000251,14300,38450,"3,6"
Hammersmith and Fulham - Avonmore and Brook Green,00ANGC,E05000252,12700,43350,"8,8"
Hammersmith and Fulham - College Park and Old Oak,00ANGD,E05000253,10700,30890,"43,8"
Hammersmith and Fulham - Fulham Broadway,00ANGE,E05000254,11550,42130,"3,1"
Hammersmith and Fulham - Fulham Reach,00ANGF,E05000255,11800,42010,"20,9"
Hammersmith and Fulham - Hammersmith Broadway,00ANGG,E05000256,12250,39500,"9,1"
Hammersmith and Fulham - Munster,00ANGH,E05000257,11150,50240,"8,5"
Hammersmith and Fulham - North End,00ANGJ,E05000258,12650,39510,"10,7"
Hammersmith and Fulham - Palace Riverside,00ANGK,E05000259,7600,53330,"54,7"
Hammersmith and Fulham - Parsons Green and Walham,00ANGL,E05000260,10850,55720,"9,8"
Hammersmith and Fulham - Ravenscourt Park,00ANGM,E05000261,11000,45510,"16,3"
Hammersmith and Fulham - Sands End,00ANGN,E05000262,13550,44170,25
Hammersmith and Fulham - Shepherd's Bush Green,00ANGP,E05000263,12950,36430,"9,7"
Hammersmith and Fulham - Town,00ANGQ,E05000264,11350,47940,0
Hammersmith and Fulham - Wormholt and White City,00ANGR,E05000265,13750,31860,"4,6"
Haringey - Alexandra,00APGA,E05000266,12050,51450,"52,2"
Haringey - Bounds Green,00APGB,E05000267,14400,34550,"22,8"
Haringey - Bruce Grove,00APGC,E05000268,15050,30340,"4,9"
Haringey - Crouch End,00APGD,E05000269,12800,52070,"13,9"
Haringey - Fortis Green,00APGE,E05000270,13000,49950,24
Haringey - Harringay,00APGF,E05000271,14100,37150,"45,4"
Haringey - Highgate,00APGG,E05000272,12100,53710,"41,8"
Haringey - Hornsey,00APGH,E05000273,13100,40260,10
Haringey - Muswell Hill,00APGJ,E05000274,11050,53910,"30,7"
Haringey - Noel Park,00APGK,E05000275,14700,30620,"11,5"
Haringey - Northumberland Park,00APGL,E05000276,15150,25090,23
Haringey - St. Ann's,00APGM,E05000277,16100,32460,20
Haringey - Seven Sisters,00APGN,E05000278,16650,33500,"21,8"
