"","Borough","Old_code","New_code","Population_2015","House_income","open_space"
"1","City of London","00AA","E09000001",8100,63620,18.6
"2","Barking and Dagenham","00AB","E09000002",205450,34080,33.7
"3","Barnet","00AC","E09000003",393200,54530,37.7
"4","Bexley","00AD","E09000004",237000,44430,38.9
"5","Brent","00AE","E09000005",326350,39630,22.3
"6","Bromley","00AF","E09000006",320100,55140,57.4
"7","Camden","00AG","E09000007",230300,67990,24.6
"8","Croydon","00AH","E09000008",381150,45120,32.2
"9","Ealing","00AJ","E09000009",349350,45690,31.5
"10","Enfield","00AK","E09000010",322150,41250,48.5
"11","Greenwich","00AL","E09000011",281550,44370,39.3
"12","Hackney","00AM","E09000012",262700,42690,28.3
"13","Hammersmith and Fulham","00AN","E09000013",189850,62910,21.1
"14","Haringey","00AP","E09000014",269100,45860,27.8
"15","Harrow","00AQ","E09000015",247500,49060,32.1
"16","Havering","00AR","E09000016",250350,44430,59
"17","Hillingdon","00AS","E09000017",289500,44950,45
"18","Hounslow","00AT","E09000018",263600,44490,37.5
"19","Islington","00AU","E09000019",220800,54950,13.7
"20","Kensington and Chelsea","00AW","E09000020",161700,116350,19.8
"21","Kingston upon Thames","00AX","E09000021",167200,56920,36.9
"22","Lambeth","00AY","E09000022",320450,48610,20.7
"23","Lewisham","00AZ","E09000023",293050,43360,22.1
"24","Merton","00BA","E09000024",206200,57160,35.9
"25","Newham","00BB","E09000025",338000,34260,29.9
"26","Redbridge","00BC","E09000026",292450,45380,40.3
"27","Richmond upon Thames","00BD","E09000027",191600,76610,57
"28","Southwark","00BE","E09000028",308650,48000,22.6
"29","Sutton","00BF","E09000029",196400,49170,33.9
"30","Tower Hamlets","00BG","E09000030",284300,45720,26.9
"31","Waltham Forest","00BH","E09000031",271450,39460,34.8
"32","Wandsworth","00BJ","E09000032",322750,66220,31.6
"33","Westminster","00BK","E09000033",230550,80760,28.6
