HDI rank,Country,Employment to population ratio,Labour force participation rate,Employment in agriculture,Employment in services,Total,Youth,Youth not in school or employment (13-18),High-skill to low-skill ratio (08-18),Old-age pension recipients (09-18)
1,Norway,61.0,63.5,2.0,78.7,3.9,9.7,4.9,14.44,98.8
2,Switzerland,64.9,68.3,3.1,76.6,4.9,7.9,6.0,12.97,99.7
3,Ireland,58.0,61.5,5.0,76.5,5.7,13.5,10.1,5.19,71.3
4,Germany,58.5,60.6,1.3,71.6,3.4,6.4,5.9,5.79,100.0
4,"Hong Kong, China (SAR)",58.6,60.3,0.2,88.0,2.8,8.0,6.1,1.93,..
6,Australia,61.5,65.0,2.6,78.1,5.4,12.2,8.9,5.66,71.3
6,Iceland,74.1,76.3,3.7,79.0,2.9,7.3,4.9,9.90,69.2
8,Sweden,60.2,64.3,1.8,80.2,6.4,17.0,6.1,11.29,100.0
9,Singapore,65.7,68.3,0.5,82.9,3.8,8.6,4.3,7.58,..
10,Netherlands,60.9,63.4,2.3,81.4,3.9,7.0,4.2,5.48,99.0
11,Denmark,58.9,62.0,2.2,79.2,5.0,9.2,6.8,4.24,99.2
12,Finland,54.0,58.5,3.7,74.3,7.8,17.3,8.5,7.83,100.0
13,Canada,61.4,65.2,1.5,79.0,5.9,11.6,12.8,5.47,100.0
14,New Zealand,66.8,70.0,6.2,73.4,4.5,12.2,11.9,7.70,100.0
15,United Kingdom,59.9,62.3,1.2,80.8,4.0,11.2,10.5,5.75,100.0
15,United States,59.6,62.0,1.4,79.1,3.9,8.2,13.7,4.81,88.2
17,Belgium,49.9,53.3,1.2,78.2,6.3,17.6,9.2,4.92,100.0
18,Liechtenstein,..,..,..,..,..,..,..,..,..
19,Japan,59.3,60.7,3.4,72.1,2.5,3.7,3.3,3.54,100.0
20,Austria,57.3,60.2,3.9,71.4,4.8,9.2,6.8,5.08,100.0
21,Luxembourg,54.9,58.1,1.4,88.1,5.5,14.7,5.3,7.32,100.0
22,Israel,61.5,64.1,1.0,81.7,4.0,6.9,14.9,8.27,85.0
22,Korea (Republic of),60.6,63.0,4.7,70.3,3.8,10.1,..,2.94,100.0
24,Slovenia,54.8,58.0,5.5,61.4,5.5,10.2,6.6,5.96,100.0
25,Spain,48.5,57.3,4.3,75.8,15.5,34.3,12.4,2.59,66.3
26,Czechia,58.8,60.2,2.8,59.4,2.4,8.0,5.6,7.01,100.0
26,France,50.0,55.1,2.6,77.1,9.2,20.9,11.1,4.65,100.0
