LATITUDE,LONGITUDE,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
15.2276100000,120.7445200000,T,"65",6.1NRT,298.7700000000,21.0900000000,D
15.2244200000,120.7626800000,T,"73",6.1NRT,298.5800000000,28.2900000000,D
15.2321400000,120.7585700000,T,"78",6.1NRT,299.0600000000,41.3500000000,D
14.3278000000,104.8957600000,T,"67",6.1NRT,292.4700000000,44.8900000000,D
14.3223500000,104.8893200000,T,"58",6.1NRT,292.5100000000,45.6200000000,D
13.7802700000,105.2593300000,T,"51",6.1NRT,294.3300000000,33.2300000000,D
13.4590400000,107.5757400000,T,"51",6.1NRT,297.1000000000,21.2000000000,D
13.4637400000,107.5698700000,T,"61",6.1NRT,297.0600000000,25.7300000000,D
6.9275700000,122.0916300000,T,"0",6.1NRT,292.1400000000,34.2800000000,D
-7.3903400000,111.0825900000,T,"67",6.1NRT,294.0600000000,7.3800000000,D
-7.5553900000,110.8875400000,T,"52",6.1NRT,294.2900000000,7.8900000000,D
-7.5466500000,110.4464900000,T,"0",6.1NRT,286.7700000000,9.3100000000,D
30.9327200000,121.1852000000,T,"49",6.1NRT,290.0200000000,4.2500000000,D
30.9407100000,120.9612400000,T,"40",6.1NRT,289.1900000000,3.7000000000,D
30.9317200000,120.8013900000,T,"0",6.1NRT,288.2900000000,4.7500000000,D
30.6827000000,120.7237400000,T,"43",6.1NRT,289.7500000000,3.7800000000,D
30.8183600000,119.7617400000,T,"40",6.1NRT,287.7700000000,3.4400000000,D
30.4740800000,120.9232600000,T,"37",6.1NRT,290.1500000000,3.6200000000,D
30.8556700000,117.7491800000,T,"42",6.1NRT,293.3800000000,4.2900000000,D
30.4549400000,120.0741100000,T,"52",6.1NRT,290.4700000000,3.7600000000,D
30.5862000000,119.0422100000,T,"46",6.1NRT,290.8900000000,3.1600000000,D
30.7469400000,117.4026700000,T,"56",6.1NRT,294.2000000000,4.2900000000,D
30.3161200000,119.7805700000,T,"59",6.1NRT,291.7600000000,4.7300000000,D
30.3144700000,119.7911500000,T,"53",6.1NRT,292.7100000000,4.4800000000,D
30.7202500000,116.9164000000,T,"57",6.1NRT,292.7700000000,7.1400000000,D
30.1296500000,120.7071300000,T,"34",6.1NRT,290.8700000000,3.7800000000,D
30.6705900000,116.8113500000,T,"53",6.1NRT,293.6800000000,3.8400000000,D
30.4480700000,117.2369800000,T,"55",6.1NRT,294.1000000000,4.6900000000,D
29.2365200000,119.9971500000,T,"55",6.1NRT,291.4400000000,3.2300000000,D
