countryCode,stateProvince,decimalLatitude,decimalLongitude,year
US,California,39.115551,-121.262906,2022
US,California,33.176917,-115.615853,2019
US,California,33.805862,-117.393269,2022
US,Texas,28.434583,-96.892512,2022
US,California,33.543204,-117.732999,2013
US,Florida,26.634015,-81.920615,2022
US,Florida,29.004433,-80.885241,2022
US,California,37.36203,-122.163239,2022
US,California,37.410124,-119.996435,2022
US,Nebraska,42.545783,-103.675011,2022
US,Texas,29.603909,-94.464569,2022
US,California,38.571392,-122.688476,2022
CA,New Brunswick,45.765529,-64.519042,2022
US,California,37.288657,-122.151801,2022
US,Washington,48.854268,-117.281513,2022
US,Oregon,45.338425,-122.443662,2022
US,Nebraska,42.418563,-103.711063,2022
CA,Ontario,44.559,-76.553514,2022
US,Georgia,30.914443,-81.422305,2022
US,California,33.036142,-117.062029,2022
US,California,34.412447,-117.855187,2022
US,Arizona,33.888328,-111.632794,2019
US,Texas,32.637467,-95.25553,2022
US,Texas,30.71912,-97.624299,2022
US,California,33.83073,-117.242273,2022
US,California,33.986223,-117.224695,2022
US,Texas,32.993301,-96.733216,2022
US,New Mexico,33.589819,-106.893651,2022
US,Florida,26.067882,-81.19586,2021
US,California,33.987315,-117.378381,2022
US,Florida,26.130868,-81.196691,2021
US,Texas,27.864192,-97.610858,2022
US,New York,41.399479,-73.831678,2022
US,Vermont,43.760404,-72.224613,2022
US,California,34.454044,-119.709943,2020
US,California,36.379092,-121.562881,2016
US,California,33.957629,-117.288422,2022
US,California,33.077969,-116.606908,2022
US,Vermont,44.032356,-73.150257,2022
US,Nebraska,42.57687,-103.623332,2022
US,California,34.020114,-116.998585,2022
US,Florida,25.61,-80.31,1986
US,Florida,25.61,-80.31,1986
US,Tennessee,36.095292,-86.847059,2019
US,Nebraska,42.513162,-103.779247,2022
US,California,33.097836,-116.471603,2022
US,Florida,28.691584,-80.714637,2022
US,Nebraska,42.558034,-103.760407,2022
US,California,34.350849,-119.304312,2022
US,Texas,30.759685,-97.714822,2022
US,California,33.905996,-117.306569,2022
US,California,33.970373,-117.251259,2022
US,California,37.039784,-122.144018,2022
US,California,33.992587,-117.214026,2022
US,Nebraska,41.664252,-103.680168,2022
US,California,33.644803,-117.89267,2019
US,Oklahoma,34.573896,-94.686202,2021
US,Vermont,43.519117,-72.896832,2021
US,California,35.160941,-120.646801,2022
