Time,Calibrated_Karup_at_Hagebro,Calibrated_Karup_at_Karup
01/01/1970 12:00,16.8596,7.68232
02/01/1970 12:00,15.6542,7.19735
03/01/1970 12:00,15.2101,6.96623
04/01/1970 12:00,14.821,6.76123
05/01/1970 12:00,14.5086,6.61589
06/01/1970 12:00,14.1894,6.46904
07/01/1970 12:00,13.9402,6.36767
08/01/1970 12:00,13.6684,6.26239
09/01/1970 12:00,13.3864,6.14524
10/01/1970 12:00,13.1186,6.03791
11/01/1970 12:00,12.8912,5.93914
12/01/1970 12:00,12.6876,5.85014
13/01/1970 12:00,12.4945,5.76551
14/01/1970 12:00,12.3073,5.68894
15/01/1970 12:00,12.1317,5.62155
16/01/1970 12:00,11.9742,5.55393
17/01/1970 12:00,11.8355,5.49854
18/01/1970 12:00,11.6957,5.44324
19/01/1970 12:00,11.5422,5.37898
20/01/1970 12:00,11.3766,5.3166
21/01/1970 12:00,11.2162,5.25811
22/01/1970 12:00,11.0719,5.19663
23/01/1970 12:00,10.9232,5.13495
24/01/1970 12:00,10.7813,5.07965
25/01/1970 12:00,10.6463,5.02451
26/01/1970 12:00,10.5054,4.96109
27/01/1970 12:00,10.4446,4.91913
28/01/1970 12:00,10.3485,4.88494
29/01/1970 12:00,10.2439,4.84056
30/01/1970 12:00,10.135,4.79786
31/01/1970 12:00,10.0373,4.7578
01/02/1970 12:00,9.93415,4.71753
02/02/1970 12:00,9.82959,4.67542
03/02/1970 12:00,9.72978,4.63285
04/02/1970 12:00,9.718,4.58435
05/02/1970 12:00,9.71991,4.56629
06/02/1970 12:00,9.67563,4.56907
07/02/1970 12:00,9.60673,4.5592
08/02/1970 12:00,9.51253,4.53242
09/02/1970 12:00,9.52636,4.52039
10/02/1970 12:00,9.48761,4.5183
11/02/1970 12:00,9.48332,4.50699
12/02/1970 12:00,9.42142,4.48822
13/02/1970 12:00,9.32185,4.45758
14/02/1970 12:00,9.21827,4.41429
15/02/1970 12:00,9.11453,4.3741
16/02/1970 12:00,9.0393,4.33737
17/02/1970 12:00,8.95607,4.29639
18/02/1970 12:00,8.88863,4.26617
19/02/1970 12:00,8.79515,4.22768
20/02/1970 12:00,8.70956,4.19239
21/02/1970 12:00,8.653,4.15619
22/02/1970 12:00,8.60596,4.13352
23/02/1970 12:00,8.54553,4.10905
24/02/1970 12:00,8.50669,4.08716
25/02/1970 12:00,8.49822,4.06953
26/02/1970 12:00,8.50034,4.05537
27/02/1970 12:00,8.44604,4.03366
28/02/1970 12:00,8.37382,4.00962
01/03/1970 12:00,8.29023,3.97981
02/03/1970 12:00,8.25729,3.94818
03/03/1970 12:00,8.19394,3.93057
04/03/1970 12:00,8.13283,3.91171
05/03/1970 12:00,8.07784,3.89327
06/03/1970 12:00,8.01663,3.86749
07/03/1970 12:00,8.0526,3.85619
08/03/1970 12:00,8.09228,3.85156
09/03/1970 12:00,8.15877,3.85371
10/03/1970 12:00,8.13218,3.85163
11/03/1970 12:00,8.06321,3.83337
12/03/1970 12:00,7.98154,3.81164
13/03/1970 12:00,7.90112,3.78678
14/03/1970 12:00,7.8267,3.75653
15/03/1970 12:00,7.76441,3.73541
16/03/1970 12:00,7.69087,3.70889
17/03/1970 12:00,7.64758,3.68949
18/03/1970 12:00,7.66775,3.6728
19/03/1970 12:00,7.77928,3.67201
20/03/1970 12:00,7.83182,3.6998
21/03/1970 12:00,7.82855,3.71589
22/03/1970 12:00,7.88557,3.72313
23/03/1970 12:00,7.93413,3.7387
24/03/1970 12:00,7.97713,3.75711
25/03/1970 12:00,7.909,3.74494
26/03/1970 12:00,7.80956,3.71739
27/03/1970 12:00,7.71788,3.68859
28/03/1970 12:00,7.69981,3.64942
29/03/1970 12:00,7.69559,3.61674
30/03/1970 12:00,7.64933,3.59816
31/03/1970 12:00,7.6051,3.57512
01/04/1970 12:00,7.60037,3.56735
02/04/1970 12:00,7.68066,3.58512
03/04/1970 12:00,7.76314,3.60969
04/04/1970 12:00,7.71984,3.60875
05/04/1970 12:00,7.64984,3.59056
06/04/1970 12:00,7.61952,3.57235
07/04/1970 12:00,7.59595,3.5556
08/04/1970 12:00,7.50808,3.52717
09/04/1970 12:00,7.46515,3.5085
10/04/1970 12:00,7.38821,3.48069
11/04/1970 12:00,7.33343,3.45605
12/04/1970 12:00,7.38857,3.44797
13/04/1970 12:00,7.41418,3.45141
14/04/1970 12:00,7.38013,3.44458
15/04/1970 12:00,7.2861,3.4161
16/04/1970 12:00,7.22657,3.39403
17/04/1970 12:00,7.22985,3.37957
18/04/1970 12:00,7.20684,3.36432
19/04/1970 12:00,7.18771,3.35907
20/04/1970 12:00,7.17794,3.35358
21/04/1970 12:00,7.16073,3.3496
22/04/1970 12:00,7.12274,3.33044
23/04/1970 12:00,7.19374,3.32576
24/04/1970 12:00,7.4349,3.37683
25/04/1970 12:00,7.49117,3.42689
26/04/1970 12:00,7.47782,3.43754
27/04/1970 12:00,7.43685,3.42148
28/04/1970 12:00,7.33227,3.40271
29/04/1970 12:00,7.23007,3.36832
30/04/1970 12:00,7.27433,3.34704
01/05/1970 12:00,7.23862,3.33849
02/05/1970 12:00,7.17592,3.33047
03/05/1970 12:00,7.09887,3.31172
04/05/1970 12:00,7.00696,3.27437
05/05/1970 12:00,6.89926,3.23552
06/05/1970 12:00,6.79314,3.19484
07/05/1970 12:00,6.68246,3.15212
08/05/1970 12:00,6.60531,3.11661
09/05/1970 12:00,6.549,3.09285
10/05/1970 12:00,6.49767,3.07173
11/05/1970 12:00,6.44195,3.05207
12/05/1970 12:00,6.39465,3.03192
13/05/1970 12:00,6.37845,3.026
14/05/1970 12:00,6.35978,3.01248
15/05/1970 12:00,6.34261,3.01212
16/05/1970 12:00,6.30863,3.00504
17/05/1970 12:00,6.2873,2.99632
18/05/1970 12:00,6.267,2.98754
19/05/1970 12:00,6.25345,2.97948
20/05/1970 12:00,6.23074,2.96992
