Time,cali_obs_5,cali_obs_35,cali_obs_37,cali_obs_65
01/01/1970 00:00,64.6437,43.1092,35.0513,26.9603
02/01/1970 00:00,64.6367,43.1066,35.054,26.9462
03/01/1970 00:00,64.6301,43.1049,35.0637,26.9338
04/01/1970 00:00,64.6236,43.0943,35.0792,26.9226
05/01/1970 00:00,64.6172,43.0924,35.0978,26.9063
06/01/1970 00:00,64.611,43.0903,35.1094,26.8973
07/01/1970 00:00,64.6044,43.087,35.1208,26.8834
08/01/1970 00:00,64.5987,43.0765,35.1249,26.8755
09/01/1970 00:00,64.5927,43.0749,35.1283,26.8676
10/01/1970 00:00,64.5798,43.0727,35.1312,26.8599
11/01/1970 00:00,64.5759,43.0635,35.1392,26.8527
12/01/1970 00:00,64.5703,43.0611,35.1447,26.8459
13/01/1970 00:00,64.5646,43.051,35.1525,26.8394
14/01/1970 00:00,64.5591,43.0491,35.1567,26.8333
15/01/1970 00:00,64.5535,43.0467,35.161,26.8274
16/01/1970 00:00,64.548,43.0356,35.1658,26.822
17/01/1970 00:00,64.5426,43.0337,35.1764,26.8166
18/01/1970 00:00,64.5371,43.0313,35.1861,26.8118
19/01/1970 00:00,64.5318,43.0197,35.1909,26.8071
20/01/1970 00:00,64.5265,43.0177,35.1944,26.8023
21/01/1970 00:00,64.5212,43.0154,35.1973,26.7976
22/01/1970 00:00,64.5081,43.0075,35.2007,26.793
23/01/1970 00:00,64.5046,43.0008,35.2035,26.7886
24/01/1970 00:00,64.4996,42.9984,35.2057,26.7841
25/01/1970 00:00,64.4945,42.9959,35.2044,26.7799
26/01/1970 00:00,64.4894,42.9934,35.2065,26.7756
27/01/1970 00:00,64.4844,42.991,35.2109,26.7722
28/01/1970 00:00,64.4794,42.9837,35.2168,26.7634
29/01/1970 00:00,64.4744,42.9813,35.2219,26.76
30/01/1970 00:00,64.4694,42.9788,35.2261,26.7566
31/01/1970 00:00,64.4645,42.9764,35.2294,26.7533
01/02/1970 00:00,64.4596,42.9739,35.2321,26.7499
02/02/1970 00:00,64.4546,42.9658,35.2343,26.7464
03/02/1970 00:00,64.4496,42.9635,35.2359,26.743
04/02/1970 00:00,64.4353,42.9613,35.2398,26.7408
05/02/1970 00:00,64.4311,42.9521,35.2492,26.739
06/02/1970 00:00,64.4264,42.9494,35.2685,26.737
07/02/1970 00:00,64.422,42.9474,35.28,26.7348
08/02/1970 00:00,64.4172,42.9451,35.2833,26.7321
09/02/1970 00:00,64.4124,42.9428,35.2894,26.7302
10/02/1970 00:00,64.4077,42.9405,35.3022,26.728
11/02/1970 00:00,64.403,42.9317,35.3178,26.7261
12/02/1970 00:00,64.3984,42.9296,35.3298,26.724
13/02/1970 00:00,64.3937,42.9274,35.3347,26.7216
14/02/1970 00:00,64.3891,42.9253,35.3377,26.7191
15/02/1970 00:00,64.3844,42.9231,35.3397,26.7158
16/02/1970 00:00,64.3797,42.9144,35.3378,26.7129
17/02/1970 00:00,64.375,42.9123,35.3405,26.7099
18/02/1970 00:00,64.3704,42.9103,35.3427,26.7174
19/02/1970 00:00,64.3658,42.9083,35.3443,26.7135
20/02/1970 00:00,64.3613,42.9064,35.3402,26.7181
21/02/1970 00:00,64.3568,42.8981,35.3426,26.7146
22/02/1970 00:00,64.3521,42.8963,35.3464,26.7116
23/02/1970 00:00,64.3475,42.8945,35.3494,26.7089
24/02/1970 00:00,64.3362,42.8928,35.3525,26.7135
25/02/1970 00:00,64.3319,42.8912,35.358,26.7116
26/02/1970 00:00,64.3277,42.8896,35.371,26.71
27/02/1970 00:00,64.3234,42.853,35.3819,26.7171
