Time,Karup River at Hagebro,Karup River at Karup
01/01/1970 12:00,16.8596,7.68233
02/01/1970 12:00,15.6545,7.19755
03/01/1970 12:00,15.2195,6.96906
04/01/1970 12:00,14.8368,6.76682
05/01/1970 12:00,14.5382,6.62381
06/01/1970 12:00,14.2178,6.48071
07/01/1970 12:00,13.9696,6.38292
08/01/1970 12:00,13.6886,6.27137
09/01/1970 12:00,13.4067,6.15429
10/01/1970 12:00,13.1443,6.0448
11/01/1970 12:00,12.907,5.94704
12/01/1970 12:00,12.715,5.85708
13/01/1970 12:00,12.5189,5.77588
14/01/1970 12:00,12.333,5.70086
15/01/1970 12:00,12.166,5.63119
16/01/1970 12:00,12.004,5.56258
17/01/1970 12:00,11.8738,5.51204
18/01/1970 12:00,11.7383,5.45186
19/01/1970 12:00,11.5779,5.38865
20/01/1970 12:00,11.4193,5.32707
21/01/1970 12:00,11.2626,5.26748
22/01/1970 12:00,11.1058,5.2045
23/01/1970 12:00,10.953,5.14475
24/01/1970 12:00,10.8104,5.08856
25/01/1970 12:00,10.6725,5.03234
26/01/1970 12:00,10.5458,4.98003
27/01/1970 12:00,10.4829,4.93442
28/01/1970 12:00,10.3809,4.8936
29/01/1970 12:00,10.284,4.85381
30/01/1970 12:00,10.1719,4.81002
31/01/1970 12:00,10.0694,4.76532
01/02/1970 12:00,9.96791,4.72628
02/02/1970 12:00,9.86161,4.68408
03/02/1970 12:00,9.7596,4.64378
04/02/1970 12:00,9.80059,4.60918
05/02/1970 12:00,9.8005,4.58276
06/02/1970 12:00,9.75087,4.58845
07/02/1970 12:00,9.67136,4.57988
08/02/1970 12:00,9.58957,4.55617
09/02/1970 12:00,9.63829,4.54932
10/02/1970 12:00,9.62525,4.56467
11/02/1970 12:00,9.64429,4.56217
12/02/1970 12:00,9.5585,4.53891
13/02/1970 12:00,9.43828,4.50269
14/02/1970 12:00,9.32578,4.45776
15/02/1970 12:00,9.22262,4.4159
16/02/1970 12:00,9.1516,4.36688
17/02/1970 12:00,9.07104,4.3327
18/02/1970 12:00,8.98002,4.30219
19/02/1970 12:00,8.887,4.2595
20/02/1970 12:00,8.79202,4.22129
21/02/1970 12:00,8.74394,4.18241
22/02/1970 12:00,8.69921,4.16221
23/02/1970 12:00,8.62707,4.12983
24/02/1970 12:00,8.60086,4.10956
25/02/1970 12:00,8.61212,4.09432
26/02/1970 12:00,8.61806,4.08505
27/02/1970 12:00,8.58118,4.07726
28/02/1970 12:00,8.49146,4.04926
01/03/1970 12:00,8.40823,4.01705
02/03/1970 12:00,8.37052,3.98896
03/03/1970 12:00,8.30314,3.95929
04/03/1970 12:00,8.23841,3.9417
05/03/1970 12:00,8.16449,3.92041
06/03/1970 12:00,8.10662,3.89249
07/03/1970 12:00,8.1374,3.88215
08/03/1970 12:00,8.18878,3.87731
09/03/1970 12:00,8.25784,3.88117
10/03/1970 12:00,8.23881,3.8791
11/03/1970 12:00,8.18631,3.86364
12/03/1970 12:00,8.11277,3.84331
13/03/1970 12:00,8.0034,3.81875
14/03/1970 12:00,7.91746,3.79029
15/03/1970 12:00,7.84058,3.75537
16/03/1970 12:00,7.78316,3.72693
17/03/1970 12:00,7.72581,3.70442
18/03/1970 12:00,7.75865,3.68861
19/03/1970 12:00,7.87621,3.69305
20/03/1970 12:00,7.93732,3.72794
21/03/1970 12:00,7.93003,3.74337
22/03/1970 12:00,7.98037,3.75068
23/03/1970 12:00,8.039,3.76997
24/03/1970 12:00,8.08698,3.78781
25/03/1970 12:00,8.02357,3.77512
26/03/1970 12:00,7.92317,3.74553
27/03/1970 12:00,7.83144,3.70956
28/03/1970 12:00,7.81656,3.68176
29/03/1970 12:00,7.8043,3.64625
30/03/1970 12:00,7.72614,3.61367
31/03/1970 12:00,7.69823,3.59807
01/04/1970 12:00,7.69658,3.58926
02/04/1970 12:00,7.79796,3.60764
03/04/1970 12:00,7.88461,3.63429
04/04/1970 12:00,7.84808,3.63551
05/04/1970 12:00,7.76479,3.61574
06/04/1970 12:00,7.72144,3.58988
07/04/1970 12:00,7.6939,3.57513
08/04/1970 12:00,7.59293,3.54773
09/04/1970 12:00,7.54757,3.52808
10/04/1970 12:00,7.47647,3.49934
11/04/1970 12:00,7.43311,3.47539
12/04/1970 12:00,7.48864,3.46829
13/04/1970 12:00,7.51493,3.47329
14/04/1970 12:00,7.48318,3.46586
15/04/1970 12:00,7.39247,3.4396
16/04/1970 12:00,7.31541,3.41621
17/04/1970 12:00,7.30748,3.40234
18/04/1970 12:00,7.29474,3.38695
19/04/1970 12:00,7.2769,3.38159
20/04/1970 12:00,7.27103,3.37249
21/04/1970 12:00,7.23549,3.35701
22/04/1970 12:00,7.23662,3.34977
23/04/1970 12:00,7.29568,3.3479
24/04/1970 12:00,7.54598,3.39866
25/04/1970 12:00,7.62283,3.44979
26/04/1970 12:00,7.60634,3.46763
27/04/1970 12:00,7.55228,3.45424
28/04/1970 12:00,7.44645,3.42884
29/04/1970 12:00,7.30782,3.39237
30/04/1970 12:00,7.38308,3.37742
01/05/1970 12:00,7.3439,3.37236
02/05/1970 12:00,7.27384,3.36095
03/05/1970 12:00,7.17579,3.34021
04/05/1970 12:00,7.08985,3.29851
05/05/1970 12:00,6.96877,3.25777
06/05/1970 12:00,6.85474,3.21467
07/05/1970 12:00,6.72485,3.1634
08/05/1970 12:00,6.64563,3.12758
09/05/1970 12:00,6.58847,3.10517
10/05/1970 12:00,6.53056,3.07874
11/05/1970 12:00,6.47137,3.05667
12/05/1970 12:00,6.41692,3.03017
13/05/1970 12:00,6.4075,3.02898
14/05/1970 12:00,6.39514,3.02362
15/05/1970 12:00,6.3826,3.02095
16/05/1970 12:00,6.34912,3.0147
17/05/1970 12:00,6.32441,3.00582
18/05/1970 12:00,6.29122,2.99593
19/05/1970 12:00,6.28586,2.98768
20/05/1970 12:00,6.26195,2.97958
21/05/1970 12:00,6.26216,2.97288
22/05/1970 12:00,6.29202,2.97235
23/05/1970 12:00,6.32371,2.97456
24/05/1970 12:00,6.31162,2.98351
25/05/1970 12:00,6.27682,2.97057
26/05/1970 12:00,6.24015,2.96634
27/05/1970 12:00,6.21164,2.95581
28/05/1970 12:00,6.18258,2.94743
29/05/1970 12:00,6.14107,2.93905
30/05/1970 12:00,6.15093,2.9331
31/05/1970 12:00,6.1161,2.92458
01/06/1970 12:00,6.07891,2.91401
02/06/1970 12:00,6.041,2.90335
03/06/1970 12:00,6.00112,2.88634
04/06/1970 12:00,5.94216,2.86623
05/06/1970 12:00,5.90227,2.85331
06/06/1970 12:00,5.85344,2.83719
07/06/1970 12:00,5.81469,2.82501
08/06/1970 12:00,5.78243,2.81357
09/06/1970 12:00,5.75105,2.80248
10/06/1970 12:00,5.72765,2.79672
11/06/1970 12:00,5.69938,2.78846
12/06/1970 12:00,5.67069,2.7795
13/06/1970 12:00,5.65223,2.77217
14/06/1970 12:00,5.62277,2.765
15/06/1970 12:00,5.60216,2.75803
16/06/1970 12:00,5.58486,2.75343
17/06/1970 12:00,5.56959,2.74917
18/06/1970 12:00,5.54612,2.74083
19/06/1970 12:00,5.52289,2.73405
20/06/1970 12:00,5.50301,2.73089
21/06/1970 12:00,5.48853,2.72655
22/06/1970 12:00,5.46943,2.72122
23/06/1970 12:00,5.45896,2.71713
24/06/1970 12:00,5.44609,2.71169
25/06/1970 12:00,5.43954,2.7096
26/06/1970 12:00,5.45539,2.70958
27/06/1970 12:00,5.45119,2.70722
28/06/1970 12:00,5.43622,2.70175
29/06/1970 12:00,5.42898,2.69975
30/06/1970 12:00,5.42184,2.69073
01/07/1970 12:00,5.45184,2.69214
02/07/1970 12:00,5.4768,2.69553
03/07/1970 12:00,5.48213,2.70279
04/07/1970 12:00,5.49685,2.71377
05/07/1970 12:00,5.48791,2.71699
06/07/1970 12:00,5.48106,2.72511
07/07/1970 12:00,5.45479,2.71953
08/07/1970 12:00,5.42193,2.71381
09/07/1970 12:00,5.39378,2.70651
10/07/1970 12:00,5.37169,2.6982
11/07/1970 12:00,5.35943,2.68445
12/07/1970 12:00,5.37994,2.68206
13/07/1970 12:00,5.37453,2.6762
14/07/1970 12:00,5.35891,2.67013
15/07/1970 12:00,5.35859,2.66855
16/07/1970 12:00,5.36837,2.66564
17/07/1970 12:00,5.34289,2.6535
18/07/1970 12:00,5.3291,2.65067
19/07/1970 12:00,5.3174,2.64401
20/07/1970 12:00,5.30251,2.63694
21/07/1970 12:00,5.3042,2.63529
22/07/1970 12:00,5.28385,2.62676
23/07/1970 12:00,5.261,2.61674
24/07/1970 12:00,5.25875,2.61708
25/07/1970 12:00,5.25796,2.61668
26/07/1970 12:00,5.32557,2.61754
27/07/1970 12:00,5.38002,2.62377
28/07/1970 12:00,5.4257,2.64956
29/07/1970 12:00,5.43235,2.66471
30/07/1970 12:00,5.43415,2.68729
31/07/1970 12:00,5.41469,2.70379
01/08/1970 12:00,5.36542,2.69602
02/08/1970 12:00,5.32227,2.68188
03/08/1970 12:00,5.27639,2.66071
04/08/1970 12:00,5.23412,2.64043
05/08/1970 12:00,5.20252,2.62454
06/08/1970 12:00,5.16608,2.60603
07/08/1970 12:00,5.12991,2.58691
08/08/1970 12:00,5.10157,2.5731
09/08/1970 12:00,5.08258,2.56137
10/08/1970 12:00,5.0675,2.55198
11/08/1970 12:00,5.06522,2.54331
12/08/1970 12:00,5.06473,2.54304
13/08/1970 12:00,5.05606,2.54098
14/08/1970 12:00,5.03388,2.53161
15/08/1970 12:00,5.01477,2.51929
16/08/1970 12:00,5.00296,2.51708
17/08/1970 12:00,4.97928,2.50692
18/08/1970 12:00,4.98459,2.50817
19/08/1970 12:00,4.99081,2.51028
20/08/1970 12:00,5.00171,2.50921
21/08/1970 12:00,4.9921,2.50366
22/08/1970 12:00,4.96571,2.49415
23/08/1970 12:00,4.93922,2.48281
24/08/1970 12:00,4.92771,2.48092
25/08/1970 12:00,4.90246,2.46724
26/08/1970 12:00,4.87589,2.45818
27/08/1970 12:00,4.86658,2.45379
28/08/1970 12:00,4.85519,2.44599
29/08/1970 12:00,4.84539,2.44234
30/08/1970 12:00,4.8368,2.44129
31/08/1970 12:00,4.8187,2.43575
01/09/1970 12:00,4.80495,2.42969
02/09/1970 12:00,4.82422,2.4332
03/09/1970 12:00,4.83533,2.43382
04/09/1970 12:00,4.83536,2.43186
05/09/1970 12:00,4.84572,2.43636
06/09/1970 12:00,4.86638,2.4439
07/09/1970 12:00,4.88009,2.448
08/09/1970 12:00,4.88563,2.4553
09/09/1970 12:00,4.88115,2.45398
10/09/1970 12:00,4.9016,2.45706
11/09/1970 12:00,4.921,2.45734
12/09/1970 12:00,4.94424,2.4621
13/09/1970 12:00,4.95728,2.47478
14/09/1970 12:00,5.01082,2.49199
15/09/1970 12:00,5.05551,2.51034
16/09/1970 12:00,5.07573,2.5306
17/09/1970 12:00,5.11722,2.55426
18/09/1970 12:00,5.28527,2.57989
19/09/1970 12:00,5.31962,2.60962
20/09/1970 12:00,5.30656,2.62875
21/09/1970 12:00,5.22929,2.61775
22/09/1970 12:00,5.19738,2.60103
23/09/1970 12:00,5.14227,2.5812
24/09/1970 12:00,5.09956,2.56073
25/09/1970 12:00,5.05626,2.53737
26/09/1970 12:00,5.0098,2.51519
27/09/1970 12:00,4.99331,2.50153
28/09/1970 12:00,4.95582,2.48306
29/09/1970 12:00,4.92186,2.46623
30/09/1970 12:00,4.90463,2.45467
01/10/1970 12:00,4.90977,2.43963
02/10/1970 12:00,4.9232,2.43661
03/10/1970 12:00,4.96792,2.44032
04/10/1970 12:00,5.00686,2.45532
05/10/1970 12:00,5.02099,2.46557
06/10/1970 12:00,5.11984,2.4769
07/10/1970 12:00,5.18028,2.49419
08/10/1970 12:00,5.20089,2.51036
09/10/1970 12:00,5.20341,2.52936
10/10/1970 12:00,5.21393,2.52291
11/10/1970 12:00,5.16676,2.51357
12/10/1970 12:00,5.12442,2.50188
13/10/1970 12:00,5.09099,2.48962
14/10/1970 12:00,5.05091,2.47747
15/10/1970 12:00,5.0354,2.45753
16/10/1970 12:00,5.01403,2.45231
17/10/1970 12:00,4.9971,2.44062
18/10/1970 12:00,4.96631,2.4287
19/10/1970 12:00,4.93819,2.41394
20/10/1970 12:00,5.03707,2.42011
21/10/1970 12:00,5.08466,2.43402
22/10/1970 12:00,5.08278,2.45109
23/10/1970 12:00,5.0471,2.44878
24/10/1970 12:00,5.02596,2.44429
25/10/1970 12:00,5.02001,2.43883
26/10/1970 12:00,5.00956,2.43254
27/10/1970 12:00,5.04573,2.42979
28/10/1970 12:00,5.05872,2.43051
29/10/1970 12:00,5.08739,2.43926
30/10/1970 12:00,5.1669,2.45254
31/10/1970 12:00,5.22314,2.4719
01/11/1970 12:00,5.35387,2.49706
02/11/1970 12:00,5.50705,2.53584
03/11/1970 12:00,5.56907,2.59048
04/11/1970 12:00,5.56464,2.61265
05/11/1970 12:00,5.6502,2.62716
06/11/1970 12:00,5.75959,2.64229
07/11/1970 12:00,5.71479,2.63347
08/11/1970 12:00,5.64686,2.63596
09/11/1970 12:00,5.57553,2.61517
10/11/1970 12:00,5.76396,2.59623
11/11/1970 12:00,5.81744,2.61586
12/11/1970 12:00,5.81051,2.61527
13/11/1970 12:00,5.88118,2.60692
14/11/1970 12:00,5.94657,2.63481
15/11/1970 12:00,5.9887,2.68374
16/11/1970 12:00,5.92886,2.70492
17/11/1970 12:00,5.85572,2.6853
18/11/1970 12:00,5.78191,2.66098
19/11/1970 12:00,5.72683,2.62367
20/11/1970 12:00,5.74543,2.60026
21/11/1970 12:00,5.80494,2.59566
22/11/1970 12:00,5.8126,2.59127
23/11/1970 12:00,5.8109,2.59302
24/11/1970 12:00,5.74829,2.57541
25/11/1970 12:00,5.7091,2.55335
26/11/1970 12:00,5.66061,2.53059
27/11/1970 12:00,5.59952,2.50253
28/11/1970 12:00,5.57071,2.47983
29/11/1970 12:00,5.53985,2.46483
30/11/1970 12:00,5.55861,2.4559
01/12/1970 12:00,5.69916,2.46049
02/12/1970 12:00,5.96101,2.52941
03/12/1970 12:00,6.07992,2.61134
04/12/1970 12:00,6.27274,2.66762
05/12/1970 12:00,6.27703,2.70942
06/12/1970 12:00,6.40285,2.73261
07/12/1970 12:00,6.38596,2.73126
08/12/1970 12:00,6.4822,2.73699
09/12/1970 12:00,6.40913,2.73668
10/12/1970 12:00,6.32262,2.71934
11/12/1970 12:00,6.21378,2.68878
12/12/1970 12:00,6.11799,2.65285
13/12/1970 12:00,6.05998,2.62271
14/12/1970 12:00,6.00838,2.59556
15/12/1970 12:00,6.04835,2.58238
16/12/1970 12:00,6.01244,2.56996
17/12/1970 12:00,5.98989,2.55514
18/12/1970 12:00,5.9536,2.54272
19/12/1970 12:00,5.9681,2.53323
20/12/1970 12:00,5.95745,2.52856
21/12/1970 12:00,5.97758,2.53602
22/12/1970 12:00,5.98025,2.53967
23/12/1970 12:00,5.9681,2.55094
24/12/1970 12:00,5.95525,2.55535
25/12/1970 12:00,5.91828,2.54928
26/12/1970 12:00,5.91099,2.54332
27/12/1970 12:00,5.88718,2.53875
28/12/1970 12:00,5.8638,2.53269
29/12/1970 12:00,5.85049,2.52796
30/12/1970 12:00,5.83626,2.52349
31/12/1970 12:00,5.83503,2.53424
01/01/1971 12:00,5.8224,2.5341
02/01/1971 12:00,5.82063,2.53011
03/01/1971 12:00,5.81937,2.53512
04/01/1971 12:00,5.80502,2.5235
05/01/1971 12:00,5.79717,2.52795
06/01/1971 12:00,5.79866,2.51832
07/01/1971 12:00,5.87943,2.52111
08/01/1971 12:00,5.88413,2.53164
09/01/1971 12:00,5.99568,2.54448
10/01/1971 12:00,5.99483,2.57748
11/01/1971 12:00,5.97045,2.59237
12/01/1971 12:00,5.92199,2.59297
13/01/1971 12:00,5.87157,2.57382
14/01/1971 12:00,5.83902,2.569
15/01/1971 12:00,5.81991,2.56276
16/01/1971 12:00,5.80411,2.56103
17/01/1971 12:00,5.79049,2.56457
18/01/1971 12:00,5.76337,2.56014
19/01/1971 12:00,5.76043,2.55894
20/01/1971 12:00,5.77045,2.56178
21/01/1971 12:00,5.81165,2.56856
22/01/1971 12:00,5.87126,2.57802
23/01/1971 12:00,5.85874,2.58482
24/01/1971 12:00,5.84167,2.58693
25/01/1971 12:00,6.01069,2.5976
26/01/1971 12:00,6.12308,2.62688
27/01/1971 12:00,6.22159,2.65442
28/01/1971 12:00,6.24482,2.70067
29/01/1971 12:00,6.28376,2.73171
30/01/1971 12:00,6.27923,2.76578
31/01/1971 12:00,6.26352,2.78142
01/02/1971 12:00,6.27658,2.78964
02/02/1971 12:00,6.33624,2.79132
03/02/1971 12:00,6.25454,2.77627
04/02/1971 12:00,6.25326,2.76263
05/02/1971 12:00,6.16622,2.74839
06/02/1971 12:00,6.10367,2.73178
07/02/1971 12:00,6.04787,2.70844
08/02/1971 12:00,5.98813,2.68588
09/02/1971 12:00,5.94507,2.66782
10/02/1971 12:00,5.89726,2.65123
11/02/1971 12:00,5.86828,2.6351
12/02/1971 12:00,5.84663,2.62126
13/02/1971 12:00,5.85104,2.6083
14/02/1971 12:00,6.02833,2.62455
15/02/1971 12:00,6.17661,2.67686
16/02/1971 12:00,6.23017,2.72302
17/02/1971 12:00,6.22277,2.74091
18/02/1971 12:00,6.33176,2.74906
19/02/1971 12:00,6.34961,2.76942
20/02/1971 12:00,6.45315,2.77992
21/02/1971 12:00,6.39685,2.77892
22/02/1971 12:00,6.34676,2.77037
23/02/1971 12:00,6.25591,2.76083
24/02/1971 12:00,6.18872,2.7501
25/02/1971 12:00,6.18074,2.73325
26/02/1971 12:00,6.14196,2.72255
27/02/1971 12:00,6.08946,2.70109
28/02/1971 12:00,6.04569,2.68623
01/03/1971 12:00,5.99487,2.67182
02/03/1971 12:00,5.96107,2.65684
03/03/1971 12:00,5.94229,2.64614
04/03/1971 12:00,5.91095,2.63305
05/03/1971 12:00,5.89494,2.63301
06/03/1971 12:00,5.8719,2.62493
07/03/1971 12:00,5.85915,2.61742
08/03/1971 12:00,5.80554,2.60454
09/03/1971 12:00,5.79271,2.6036
10/03/1971 12:00,5.77015,2.58769
11/03/1971 12:00,5.78607,2.5875
12/03/1971 12:00,5.81008,2.59659
13/03/1971 12:00,5.80625,2.60072
14/03/1971 12:00,5.88946,2.60814
15/03/1971 12:00,5.89637,2.62302
16/03/1971 12:00,5.86765,2.6307
17/03/1971 12:00,5.86452,2.63313
18/03/1971 12:00,5.89145,2.65182
19/03/1971 12:00,6.00437,2.67829
20/03/1971 12:00,6.09405,2.70867
21/03/1971 12:00,6.08266,2.73137
22/03/1971 12:00,6.06772,2.72746
23/03/1971 12:00,5.99226,2.71737
24/03/1971 12:00,5.95055,2.69627
25/03/1971 12:00,5.93848,2.67819
26/03/1971 12:00,6.00911,2.67529
27/03/1971 12:00,5.99113,2.67653
28/03/1971 12:00,5.99319,2.67668
29/03/1971 12:00,5.93917,2.67475
30/03/1971 12:00,5.85896,2.65246
31/03/1971 12:00,5.84264,2.64788
01/04/1971 12:00,5.80117,2.62407
02/04/1971 12:00,5.92739,2.63212
03/04/1971 12:00,5.94206,2.64491
04/04/1971 12:00,5.92155,2.65019
05/04/1971 12:00,5.89641,2.65274
06/04/1971 12:00,5.88292,2.65204
07/04/1971 12:00,5.84503,2.64819
08/04/1971 12:00,5.82606,2.6397
09/04/1971 12:00,5.79836,2.64147
10/04/1971 12:00,5.75552,2.63339
11/04/1971 12:00,5.71351,2.6292
12/04/1971 12:00,5.6452,2.6104
13/04/1971 12:00,5.57604,2.59248
14/04/1971 12:00,5.53268,2.5745
15/04/1971 12:00,5.51024,2.56112
16/04/1971 12:00,5.50444,2.55518
17/04/1971 12:00,5.49133,2.54937
18/04/1971 12:00,5.50294,2.54438
19/04/1971 12:00,5.50467,2.54863
20/04/1971 12:00,5.46618,2.54471
21/04/1971 12:00,5.44275,2.5438
22/04/1971 12:00,5.39469,2.53156
23/04/1971 12:00,5.35302,2.51946
24/04/1971 12:00,5.33167,2.50958
25/04/1971 12:00,5.29931,2.50337
26/04/1971 12:00,5.28994,2.49813
27/04/1971 12:00,5.27473,2.49382
28/04/1971 12:00,5.25537,2.4901
29/04/1971 12:00,5.26929,2.4895
30/04/1971 12:00,5.32117,2.49847
01/05/1971 12:00,5.33739,2.51113
02/05/1971 12:00,5.3148,2.52334
03/05/1971 12:00,5.28528,2.52253
04/05/1971 12:00,5.27181,2.51808
05/05/1971 12:00,5.2402,2.50915
06/05/1971 12:00,5.20444,2.49637
07/05/1971 12:00,5.16328,2.48366
08/05/1971 12:00,5.11552,2.46769
09/05/1971 12:00,5.09598,2.45851
10/05/1971 12:00,5.06603,2.44979
11/05/1971 12:00,5.05191,2.43993
12/05/1971 12:00,5.03186,2.43427
13/05/1971 12:00,5.01742,2.43148
14/05/1971 12:00,5.07595,2.44165
15/05/1971 12:00,5.08267,2.44355
16/05/1971 12:00,5.10242,2.44672
17/05/1971 12:00,5.18904,2.44949
18/05/1971 12:00,5.26182,2.45198
19/05/1971 12:00,5.31769,2.45504
20/05/1971 12:00,5.2886,2.46771
21/05/1971 12:00,5.22921,2.46825
22/05/1971 12:00,5.19563,2.47169
23/05/1971 12:00,5.13691,2.45802
24/05/1971 12:00,5.10147,2.4509
25/05/1971 12:00,5.08426,2.44283
26/05/1971 12:00,5.06954,2.44045
27/05/1971 12:00,5.04781,2.43035
28/05/1971 12:00,5.03435,2.43016
29/05/1971 12:00,5.03132,2.42864
30/05/1971 12:00,5.12042,2.43756
31/05/1971 12:00,5.23503,2.44895
01/06/1971 12:00,5.22289,2.47868
02/06/1971 12:00,5.16281,2.49343
03/06/1971 12:00,5.0917,2.48523
04/06/1971 12:00,5.01179,2.46354
05/06/1971 12:00,4.96947,2.44199
06/06/1971 12:00,4.93519,2.42923
07/06/1971 12:00,4.88749,2.39925
08/06/1971 12:00,4.86076,2.39553
09/06/1971 12:00,4.85571,2.39026
10/06/1971 12:00,4.8512,2.38797
11/06/1971 12:00,4.82438,2.37439
12/06/1971 12:00,4.80755,2.36403
13/06/1971 12:00,4.79608,2.36481
14/06/1971 12:00,4.78179,2.36283
15/06/1971 12:00,4.77095,2.35589
16/06/1971 12:00,4.76165,2.3522
17/06/1971 12:00,4.75346,2.34848
18/06/1971 12:00,4.74588,2.34335
19/06/1971 12:00,4.74486,2.34255
20/06/1971 12:00,4.76181,2.35364
21/06/1971 12:00,4.76819,2.35337
22/06/1971 12:00,4.81688,2.37223
23/06/1971 12:00,4.88503,2.38888
24/06/1971 12:00,4.92281,2.42345
25/06/1971 12:00,4.92535,2.44167
26/06/1971 12:00,4.92481,2.45459
27/06/1971 12:00,4.89899,2.44644
28/06/1971 12:00,4.88536,2.44253
29/06/1971 12:00,4.87706,2.43241
30/06/1971 12:00,4.89267,2.43698
01/07/1971 12:00,4.87051,2.43507
02/07/1971 12:00,4.82572,2.42121
03/07/1971 12:00,4.76839,2.40135
04/07/1971 12:00,4.72816,2.37782
05/07/1971 12:00,4.69179,2.35949
06/07/1971 12:00,4.65985,2.34302
07/07/1971 12:00,4.62482,2.32415
08/07/1971 12:00,4.59263,2.30744
09/07/1971 12:00,4.56624,2.29449
10/07/1971 12:00,4.54892,2.28888
11/07/1971 12:00,4.52452,2.27152
12/07/1971 12:00,4.51601,2.26571
13/07/1971 12:00,4.51162,2.26583
14/07/1971 12:00,4.49505,2.26022
15/07/1971 12:00,4.48576,2.25953
16/07/1971 12:00,4.50299,2.26874
17/07/1971 12:00,4.50701,2.26807
18/07/1971 12:00,4.50036,2.2662
19/07/1971 12:00,4.49658,2.26556
20/07/1971 12:00,4.4882,2.26721
21/07/1971 12:00,4.48137,2.26553
22/07/1971 12:00,4.46723,2.26289
23/07/1971 12:00,4.46802,2.26412
24/07/1971 12:00,4.47166,2.2679
25/07/1971 12:00,4.47145,2.26715
26/07/1971 12:00,4.48657,2.26878
27/07/1971 12:00,4.50755,2.27139
28/07/1971 12:00,4.50824,2.27153
29/07/1971 12:00,4.51143,2.27296
30/07/1971 12:00,4.50002,2.26956
31/07/1971 12:00,4.54514,2.28337
01/08/1971 12:00,4.63871,2.3132
02/08/1971 12:00,4.63813,2.32892
03/08/1971 12:00,4.61482,2.33597
04/08/1971 12:00,4.58654,2.33003
05/08/1971 12:00,4.58261,2.3188
06/08/1971 12:00,4.59224,2.30811
07/08/1971 12:00,4.795,2.31414
08/08/1971 12:00,4.86543,2.36763
09/08/1971 12:00,5.07241,2.42546
10/08/1971 12:00,5.14586,2.49622
11/08/1971 12:00,5.10758,2.52023
12/08/1971 12:00,5.07512,2.5169
13/08/1971 12:00,5.14875,2.52134
14/08/1971 12:00,5.14516,2.53772
15/08/1971 12:00,5.14971,2.54207
16/08/1971 12:00,5.11236,2.53159
17/08/1971 12:00,5.07533,2.51524
18/08/1971 12:00,4.99857,2.49162
19/08/1971 12:00,4.8938,2.45846
20/08/1971 12:00,4.82776,2.42538
21/08/1971 12:00,4.76316,2.39412
22/08/1971 12:00,4.71449,2.36446
23/08/1971 12:00,4.65282,2.33497
24/08/1971 12:00,4.59501,2.30089
25/08/1971 12:00,4.55631,2.28134
26/08/1971 12:00,4.52588,2.26289
27/08/1971 12:00,4.50362,2.25439
28/08/1971 12:00,4.49235,2.24693
29/08/1971 12:00,4.47736,2.23945
30/08/1971 12:00,4.4854,2.2372
31/08/1971 12:00,4.51754,2.24167
01/09/1971 12:00,4.54272,2.24429
02/09/1971 12:00,4.54246,2.24463
03/09/1971 12:00,4.56601,2.24505
04/09/1971 12:00,4.56931,2.24649
05/09/1971 12:00,4.5497,2.24337
06/09/1971 12:00,4.57109,2.24749
07/09/1971 12:00,4.57013,2.25573
08/09/1971 12:00,4.54269,2.25425
09/09/1971 12:00,4.52012,2.24913
10/09/1971 12:00,4.49223,2.23759
11/09/1971 12:00,4.47706,2.22781
12/09/1971 12:00,4.46809,2.22078
13/09/1971 12:00,4.45124,2.21345
14/09/1971 12:00,4.43203,2.20814
15/09/1971 12:00,4.41743,2.19726
16/09/1971 12:00,4.40626,2.19491
17/09/1971 12:00,4.39683,2.1874
18/09/1971 12:00,4.40515,2.18989
19/09/1971 12:00,4.45697,2.1968
20/09/1971 12:00,4.47495,2.20832
21/09/1971 12:00,4.47789,2.21895
22/09/1971 12:00,4.46338,2.21126
23/09/1971 12:00,4.45797,2.21046
24/09/1971 12:00,4.44344,2.20516
25/09/1971 12:00,4.45507,2.21326
26/09/1971 12:00,4.48616,2.2315
27/09/1971 12:00,4.49322,2.24135
28/09/1971 12:00,4.47524,2.23485
29/09/1971 12:00,4.47408,2.23374
30/09/1971 12:00,4.44262,2.21069
01/10/1971 12:00,4.44957,2.20891
02/10/1971 12:00,4.44768,2.20677
03/10/1971 12:00,4.44502,2.20678
04/10/1971 12:00,4.43103,2.20862
05/10/1971 12:00,4.4191,2.20236
06/10/1971 12:00,4.40441,2.19171
07/10/1971 12:00,4.39782,2.18765
08/10/1971 12:00,4.39117,2.18393
09/10/1971 12:00,4.38079,2.17975
10/10/1971 12:00,4.39549,2.18246
11/10/1971 12:00,4.41001,2.18234
12/10/1971 12:00,4.42831,2.1832
