Time,high_Obs_5,high_Obs_35,high_Obs_37,high_Obs_65
01/01/1970 00:00,64.6437,43.1092,35.0513,26.9603
02/01/1970 00:00,64.6367,43.1066,35.054,26.9462
03/01/1970 00:00,64.6301,43.1049,35.0639,26.9338
04/01/1970 00:00,64.6236,43.0943,35.081,26.9226
05/01/1970 00:00,64.6172,43.0924,35.1003,26.9066
06/01/1970 00:00,64.611,43.0903,35.1128,26.8976
07/01/1970 00:00,64.6044,43.087,35.1251,26.8839
08/01/1970 00:00,64.5987,43.0765,35.1295,26.876
09/01/1970 00:00,64.5927,43.0749,35.1329,26.8681
10/01/1970 00:00,64.5798,43.0728,35.136,26.8606
11/01/1970 00:00,64.5759,43.0635,35.1446,26.8533
12/01/1970 00:00,64.5703,43.0611,35.1532,26.8466
13/01/1970 00:00,64.5646,43.0511,35.1579,26.8401
14/01/1970 00:00,64.5591,43.0491,35.1625,26.834
15/01/1970 00:00,64.5535,43.0467,35.1672,26.8283
16/01/1970 00:00,64.548,43.0356,35.1762,26.8228
17/01/1970 00:00,64.5426,43.0337,35.1855,26.8175
18/01/1970 00:00,64.5372,43.0314,35.1955,26.8125
19/01/1970 00:00,64.5318,43.0197,35.2006,26.8079
20/01/1970 00:00,64.5265,43.0178,35.2044,26.8033
21/01/1970 00:00,64.5212,43.0155,35.2074,26.7987
22/01/1970 00:00,64.5081,43.0076,35.211,26.7942
23/01/1970 00:00,64.5046,43.0009,35.2139,26.7897
24/01/1970 00:00,64.4996,42.9985,35.2163,26.7853
25/01/1970 00:00,64.4945,42.9961,35.2149,26.781
26/01/1970 00:00,64.4894,42.9935,35.2171,26.7768
27/01/1970 00:00,64.4844,42.9912,35.2218,26.7733
28/01/1970 00:00,64.4794,42.9839,35.2281,26.7699
29/01/1970 00:00,64.4744,42.9815,35.2335,26.7665
30/01/1970 00:00,64.4695,42.9791,35.238,26.763
31/01/1970 00:00,64.4646,42.9766,35.2415,26.7596
01/02/1970 00:00,64.4597,42.9741,35.2444,26.751
02/02/1970 00:00,64.4546,42.9661,35.2468,26.7477
03/02/1970 00:00,64.4497,42.9638,35.2485,26.7443
04/02/1970 00:00,64.4447,42.9615,35.2538,26.7423
05/02/1970 00:00,64.433,42.9523,35.2692,26.7408
06/02/1970 00:00,64.4286,42.9501,35.2878,26.7393
07/02/1970 00:00,64.4236,42.9474,35.3033,26.7374
08/02/1970 00:00,64.419,42.9455,35.3114,26.7351
09/02/1970 00:00,64.4142,42.9433,35.319,26.7334
10/02/1970 00:00,64.4095,42.9411,35.3363,26.7315
11/02/1970 00:00,64.4048,42.9323,35.3522,26.73
12/02/1970 00:00,64.4002,42.9303,35.3651,26.728
13/02/1970 00:00,64.3955,42.9282,35.3706,26.7255
14/02/1970 00:00,64.391,42.9261,35.3739,26.7229
15/02/1970 00:00,64.3862,42.9241,35.3761,26.7299
16/02/1970 00:00,64.3815,42.9158,35.3789,26.7263
17/02/1970 00:00,64.3769,42.9138,35.3815,26.7316
18/02/1970 00:00,64.3722,42.9119,35.3802,26.7277
19/02/1970 00:00,64.3596,42.9101,35.3821,26.7244
20/02/1970 00:00,64.3567,42.9084,35.3794,26.7283
21/02/1970 00:00,64.3525,42.9005,35.3822,26.7255
22/02/1970 00:00,64.348,42.8988,35.3869,26.7303
23/02/1970 00:00,64.3435,42.8973,35.3904,26.728
24/02/1970 00:00,64.3391,42.8958,35.3942,26.7262
25/02/1970 00:00,64.3347,42.8944,35.4056,26.7333
26/02/1970 00:00,64.3303,42.8932,35.4201,26.7322
27/02/1970 00:00,64.326,42.8922,35.4311,26.7318
