Time,Karup_at_Hagebro,Karup_at_Karup
01/01/1970 12:00,16.8596,7.68233
02/01/1970 12:00,15.6544,7.19749
03/01/1970 12:00,15.2178,6.96853
04/01/1970 12:00,14.8286,6.76444
05/01/1970 12:00,14.533,6.62182
06/01/1970 12:00,14.2067,6.47772
07/01/1970 12:00,13.9638,6.37514
08/01/1970 12:00,13.6771,6.26587
09/01/1970 12:00,13.4,6.15438
10/01/1970 12:00,13.1407,6.04402
11/01/1970 12:00,12.9052,5.94664
12/01/1970 12:00,12.7078,5.85534
13/01/1970 12:00,12.5112,5.7726
14/01/1970 12:00,12.3227,5.69513
15/01/1970 12:00,12.1567,5.62597
16/01/1970 12:00,11.9994,5.56336
17/01/1970 12:00,11.8597,5.50695
18/01/1970 12:00,11.7238,5.4463
19/01/1970 12:00,11.5658,5.38896
20/01/1970 12:00,11.3964,5.3258
21/01/1970 12:00,11.2425,5.26651
22/01/1970 12:00,11.091,5.20503
23/01/1970 12:00,10.9379,5.14318
24/01/1970 12:00,10.7966,5.08703
25/01/1970 12:00,10.6594,5.03118
26/01/1970 12:00,10.5231,4.97269
27/01/1970 12:00,10.4556,4.92806
28/01/1970 12:00,10.3683,4.88795
29/01/1970 12:00,10.2626,4.84561
30/01/1970 12:00,10.154,4.80761
31/01/1970 12:00,10.0607,4.76516
01/02/1970 12:00,9.95394,4.72587
02/02/1970 12:00,9.84817,4.68313
03/02/1970 12:00,9.7472,4.64263
04/02/1970 12:00,9.77815,4.60714
05/02/1970 12:00,9.79763,4.58901
06/02/1970 12:00,9.75433,4.59591
07/02/1970 12:00,9.66879,4.58446
08/02/1970 12:00,9.57536,4.55427
09/02/1970 12:00,9.60838,4.54153
10/02/1970 12:00,9.58757,4.55076
11/02/1970 12:00,9.59977,4.5496
12/02/1970 12:00,9.52975,4.52779
13/02/1970 12:00,9.41295,4.49376
14/02/1970 12:00,9.30349,4.44939
15/02/1970 12:00,9.19022,4.40794
16/02/1970 12:00,9.1151,4.35561
17/02/1970 12:00,9.04216,4.32525
