Time,low_Obs_5,low_Obs_35,low_Obs_37,low_Obs_65
01/01/1970 00:00,64.6437,43.1092,35.0513,26.9603
02/01/1970 00:00,64.6367,43.1066,35.054,26.9462
03/01/1970 00:00,64.6301,43.1049,35.0638,26.9338
04/01/1970 00:00,64.6236,43.0943,35.0804,26.9226
05/01/1970 00:00,64.6172,43.0924,35.0996,26.9066
06/01/1970 00:00,64.611,43.0903,35.1118,26.8975
07/01/1970 00:00,64.6044,43.087,35.1239,26.8839
08/01/1970 00:00,64.5987,43.0765,35.1282,26.8759
09/01/1970 00:00,64.5927,43.0749,35.1316,26.8679
10/01/1970 00:00,64.5798,43.0727,35.1346,26.8604
11/01/1970 00:00,64.5758,43.0635,35.1431,26.8532
12/01/1970 00:00,64.5703,43.0611,35.1488,26.8465
13/01/1970 00:00,64.5646,43.0511,35.1571,26.84
14/01/1970 00:00,64.5591,43.0491,35.1614,26.8338
15/01/1970 00:00,64.5535,43.0467,35.1661,26.8282
16/01/1970 00:00,64.548,43.0356,35.1744,26.8226
17/01/1970 00:00,64.5426,43.0337,35.1812,26.8173
18/01/1970 00:00,64.5371,43.0313,35.1926,26.8123
19/01/1970 00:00,64.5318,43.0197,35.1977,26.8077
20/01/1970 00:00,64.5264,43.0178,35.2014,26.803
21/01/1970 00:00,64.5212,43.0155,35.2043,26.7983
22/01/1970 00:00,64.5081,43.0076,35.2079,26.7938
23/01/1970 00:00,64.5046,43.0008,35.2108,26.7892
24/01/1970 00:00,64.4996,42.9985,35.2131,26.7847
25/01/1970 00:00,64.4945,42.996,35.2114,26.7803
26/01/1970 00:00,64.4894,42.9935,35.2136,26.776
27/01/1970 00:00,64.4844,42.9911,35.2182,26.7725
28/01/1970 00:00,64.4794,42.9838,35.2244,26.769
29/01/1970 00:00,64.4744,42.9814,35.2298,26.7655
30/01/1970 00:00,64.4695,42.979,35.2341,26.762
31/01/1970 00:00,64.4645,42.9765,35.2376,26.7533
01/02/1970 00:00,64.4596,42.9741,35.2404,26.75
02/02/1970 00:00,64.4546,42.966,35.2427,26.7467
03/02/1970 00:00,64.4496,42.9637,35.2444,26.7432
04/02/1970 00:00,64.4447,42.9614,35.2496,26.7412
05/02/1970 00:00,64.4335,42.9591,35.2663,26.7399
06/02/1970 00:00,64.4288,42.9507,35.2868,26.7381
07/02/1970 00:00,64.4242,42.9485,35.2945,26.736
08/02/1970 00:00,64.4194,42.9462,35.3036,26.7335
09/02/1970 00:00,64.4146,42.9439,35.3109,26.7316
10/02/1970 00:00,64.4099,42.9355,35.3284,26.7296
11/02/1970 00:00,64.4052,42.9334,35.3438,26.7279
12/02/1970 00:00,64.4005,42.9312,35.3563,26.726
13/02/1970 00:00,64.3958,42.9291,35.3617,26.7235
14/02/1970 00:00,64.3912,42.9269,35.3649,26.7209
15/02/1970 00:00,64.3865,42.9184,35.3671,26.7179
16/02/1970 00:00,64.3818,42.9163,35.37,26.7242
17/02/1970 00:00,64.3771,42.9143,35.3726,26.721
18/02/1970 00:00,64.3725,42.9123,35.371,26.7259
19/02/1970 00:00,64.361,42.9104,35.3729,26.7225
20/02/1970 00:00,64.3567,42.9022,35.3688,26.7263
21/02/1970 00:00,64.3525,42.9004,35.3717,26.7231
22/02/1970 00:00,64.348,42.8987,35.3761,26.7204
23/02/1970 00:00,64.3435,42.8971,35.3795,26.7249
24/02/1970 00:00,64.3391,42.8956,35.3832,26.723
25/02/1970 00:00,64.3347,42.8941,35.394,26.7217
26/02/1970 00:00,64.3303,42.8551,35.4097,26.7279
27/02/1970 00:00,64.326,42.8528,35.4204,26.727
