Time,mid_Obs_5,mid_Obs_35,mid_Obs_37,mid_Obs_65
01/01/1970 00:00,64.6437,43.1092,35.0513,26.9603
02/01/1970 00:00,64.6367,43.1066,35.054,26.9462
03/01/1970 00:00,64.6301,43.1049,35.0639,26.9338
04/01/1970 00:00,64.6236,43.0943,35.081,26.9226
05/01/1970 00:00,64.6172,43.0924,35.1003,26.9066
06/01/1970 00:00,64.611,43.0903,35.1128,26.8976
07/01/1970 00:00,64.6044,43.087,35.1251,26.8839
08/01/1970 00:00,64.5987,43.0765,35.1295,26.876
09/01/1970 00:00,64.5927,43.0749,35.133,26.8681
10/01/1970 00:00,64.5798,43.0728,35.136,26.8606
11/01/1970 00:00,64.5759,43.0635,35.1446,26.8533
12/01/1970 00:00,64.5703,43.0611,35.1505,26.8466
13/01/1970 00:00,64.5646,43.0511,35.159,26.8401
14/01/1970 00:00,64.5591,43.0491,35.1634,26.834
15/01/1970 00:00,64.5535,43.0467,35.168,26.8283
16/01/1970 00:00,64.548,43.0356,35.1766,26.8228
17/01/1970 00:00,64.5426,43.0337,35.1835,26.8175
18/01/1970 00:00,64.5372,43.0314,35.1952,26.8125
19/01/1970 00:00,64.5318,43.0197,35.2003,26.8079
20/01/1970 00:00,64.5265,43.0178,35.2041,26.8032
21/01/1970 00:00,64.5212,43.0155,35.2071,26.7986
22/01/1970 00:00,64.5081,43.0076,35.2107,26.7942
23/01/1970 00:00,64.5046,43.0009,35.2136,26.7897
24/01/1970 00:00,64.4996,42.9985,35.2159,26.7853
25/01/1970 00:00,64.4945,42.9961,35.2144,26.781
26/01/1970 00:00,64.4894,42.9935,35.2166,26.7767
27/01/1970 00:00,64.4844,42.9912,35.2213,26.7733
28/01/1970 00:00,64.4794,42.9839,35.2277,26.7699
29/01/1970 00:00,64.4744,42.9815,35.233,26.7665
30/01/1970 00:00,64.4695,42.979,35.2375,26.763
31/01/1970 00:00,64.4646,42.9766,35.241,26.7596
01/02/1970 00:00,64.4597,42.9741,35.2439,26.751
02/02/1970 00:00,64.4546,42.9661,35.2463,26.7476
03/02/1970 00:00,64.4496,42.9638,35.248,26.7443
04/02/1970 00:00,64.4447,42.9615,35.2532,26.7423
05/02/1970 00:00,64.4336,42.9592,35.27,26.7406
06/02/1970 00:00,64.4289,42.9509,35.2901,26.739
07/02/1970 00:00,64.4243,42.9487,35.3018,26.7369
08/02/1970 00:00,64.4195,42.9464,35.3055,26.7345
09/02/1970 00:00,64.4147,42.9441,35.3169,26.7331
10/02/1970 00:00,64.41,42.9358,35.3322,26.7313
11/02/1970 00:00,64.4053,42.9337,35.3475,26.7295
12/02/1970 00:00,64.4006,42.9315,35.3599,26.7275
13/02/1970 00:00,64.3959,42.9294,35.3653,26.7251
14/02/1970 00:00,64.3913,42.9273,35.3685,26.7224
15/02/1970 00:00,64.3866,42.9188,35.3706,26.7281
16/02/1970 00:00,64.3819,42.9167,35.3734,26.7248
17/02/1970 00:00,64.3772,42.9147,35.3761,26.7282
18/02/1970 00:00,64.3726,42.9128,35.3744,26.7249
19/02/1970 00:00,64.3611,42.9109,35.3763,26.7294
20/02/1970 00:00,64.3569,42.9028,35.3721,26.7257
21/02/1970 00:00,64.3526,42.9011,35.3749,26.7229
22/02/1970 00:00,64.3481,42.8994,35.3794,26.7279
23/02/1970 00:00,64.3437,42.8979,35.3827,26.7254
24/02/1970 00:00,64.3392,42.8964,35.3864,26.7236
25/02/1970 00:00,64.3348,42.895,35.3971,26.7292
26/02/1970 00:00,64.3304,42.8561,35.4127,26.7284
27/02/1970 00:00,64.3261,42.8539,35.4234,26.7352
