Time,Karup_at_Hagebro,Karup_at_Karup
01/01/1970 12:00,16.8596,7.68233
02/01/1970 12:00,15.6545,7.19755
03/01/1970 12:00,15.2195,6.96907
04/01/1970 12:00,14.8366,6.76687
05/01/1970 12:00,14.5385,6.62386
06/01/1970 12:00,14.218,6.48077
07/01/1970 12:00,13.971,6.38299
08/01/1970 12:00,13.6897,6.27142
09/01/1970 12:00,13.4067,6.15434
10/01/1970 12:00,13.1442,6.04477
11/01/1970 12:00,12.9069,5.94697
12/01/1970 12:00,12.7116,5.85658
13/01/1970 12:00,12.5196,5.7759
14/01/1970 12:00,12.3335,5.70081
15/01/1970 12:00,12.1661,5.63109
16/01/1970 12:00,12.0036,5.5624
17/01/1970 12:00,11.8706,5.51146
18/01/1970 12:00,11.7366,5.45136
19/01/1970 12:00,11.5764,5.38816
20/01/1970 12:00,11.4182,5.32653
21/01/1970 12:00,11.2614,5.26689
22/01/1970 12:00,11.1046,5.20394
23/01/1970 12:00,10.9517,5.14418
24/01/1970 12:00,10.809,5.08801
25/01/1970 12:00,10.6709,5.03177
26/01/1970 12:00,10.5412,4.97943
27/01/1970 12:00,10.477,4.93347
28/01/1970 12:00,10.3774,4.89272
29/01/1970 12:00,10.2835,4.85345
30/01/1970 12:00,10.1707,4.80947
31/01/1970 12:00,10.0692,4.76502
01/02/1970 12:00,9.96655,4.72594
02/02/1970 12:00,9.86146,4.68369
03/02/1970 12:00,9.75957,4.64331
04/02/1970 12:00,9.79138,4.60719
05/02/1970 12:00,9.81466,4.59562
06/02/1970 12:00,9.76819,4.5996
07/02/1970 12:00,9.68621,4.58788
08/02/1970 12:00,9.58196,4.55827
09/02/1970 12:00,9.6224,4.54625
10/02/1970 12:00,9.59999,4.55308
11/02/1970 12:00,9.61172,4.55136
12/02/1970 12:00,9.53883,4.52945
13/02/1970 12:00,9.42247,4.49514
14/02/1970 12:00,9.30835,4.45197
15/02/1970 12:00,9.20465,4.40816
16/02/1970 12:00,9.12826,4.35845
17/02/1970 12:00,9.05191,4.32638
18/02/1970 12:00,8.96613,4.29451
19/02/1970 12:00,8.86094,4.25441
20/02/1970 12:00,8.77142,4.21712
21/02/1970 12:00,8.72327,4.17638
22/02/1970 12:00,8.68309,4.15633
23/02/1970 12:00,8.6121,4.13258
24/02/1970 12:00,8.58139,4.10267
25/02/1970 12:00,8.58929,4.08798
26/02/1970 12:00,8.59705,4.07873
27/02/1970 12:00,8.54455,4.06696
28/02/1970 12:00,8.4704,4.03972
01/03/1970 12:00,8.39245,4.01217
02/03/1970 12:00,8.34573,3.9763
03/03/1970 12:00,8.28865,3.95617
04/03/1970 12:00,8.22552,3.9379
05/03/1970 12:00,8.144,3.91007
06/03/1970 12:00,8.09408,3.89042
07/03/1970 12:00,8.12409,3.87907
08/03/1970 12:00,8.17799,3.87408
09/03/1970 12:00,8.25773,3.87821
10/03/1970 12:00,8.21701,3.86909
11/03/1970 12:00,8.16761,3.8627
12/03/1970 12:00,8.0704,3.84208
13/03/1970 12:00,7.99185,3.81642
14/03/1970 12:00,7.90474,3.78068
15/03/1970 12:00,7.83044,3.74869
16/03/1970 12:00,7.76157,3.72356
17/03/1970 12:00,7.71843,3.70414
18/03/1970 12:00,7.74679,3.68723
19/03/1970 12:00,7.85936,3.68892
20/03/1970 12:00,7.92155,3.72325
21/03/1970 12:00,7.91785,3.74127
22/03/1970 12:00,7.97561,3.74876
23/03/1970 12:00,8.02799,3.76572
24/03/1970 12:00,8.07839,3.78623
25/03/1970 12:00,8.00918,3.77199
26/03/1970 12:00,7.91358,3.7431
27/03/1970 12:00,7.81712,3.71237
28/03/1970 12:00,7.79728,3.67322
29/03/1970 12:00,7.789,3.63706
30/03/1970 12:00,7.72022,3.6143
31/03/1970 12:00,7.6882,3.59331
01/04/1970 12:00,7.68644,3.58644
02/04/1970 12:00,7.7897,3.6061
03/04/1970 12:00,7.86392,3.63178
04/04/1970 12:00,7.83258,3.6306
05/04/1970 12:00,7.7501,3.61167
06/04/1970 12:00,7.71943,3.59358
07/04/1970 12:00,7.68631,3.56983
08/04/1970 12:00,7.58523,3.55116
09/04/1970 12:00,7.53066,3.52124
10/04/1970 12:00,7.46284,3.49473
11/04/1970 12:00,7.42766,3.47769
12/04/1970 12:00,7.48065,3.46996
13/04/1970 12:00,7.49717,3.46825
14/04/1970 12:00,7.46655,3.46026
15/04/1970 12:00,7.37734,3.43454
16/04/1970 12:00,7.30379,3.41421
17/04/1970 12:00,7.30189,3.40034
18/04/1970 12:00,7.28519,3.38602
19/04/1970 12:00,7.26331,3.37522
20/04/1970 12:00,7.25593,3.36715
21/04/1970 12:00,7.2297,3.35508
22/04/1970 12:00,7.21608,3.34711
23/04/1970 12:00,7.29366,3.35436
24/04/1970 12:00,7.57347,3.4167
25/04/1970 12:00,7.64612,3.45648
26/04/1970 12:00,7.59008,3.46511
27/04/1970 12:00,7.54092,3.44875
28/04/1970 12:00,7.42474,3.42547
29/04/1970 12:00,7.29515,3.38445
30/04/1970 12:00,7.36833,3.37408
01/05/1970 12:00,7.32338,3.36859
02/05/1970 12:00,7.25055,3.35501
03/05/1970 12:00,7.16859,3.33488
04/05/1970 12:00,7.06947,3.29267
05/05/1970 12:00,6.95343,3.25367
06/05/1970 12:00,6.84179,3.21121
07/05/1970 12:00,6.7209,3.16149
08/05/1970 12:00,6.64216,3.12717
09/05/1970 12:00,6.57873,3.10289
10/05/1970 12:00,6.52663,3.07679
11/05/1970 12:00,6.46406,3.05578
12/05/1970 12:00,6.40649,3.02902
13/05/1970 12:00,6.40584,3.02737
14/05/1970 12:00,6.3941,3.02205
15/05/1970 12:00,6.37032,3.0183
16/05/1970 12:00,6.34764,3.01198
17/05/1970 12:00,6.3174,3.00348
18/05/1970 12:00,6.29425,2.99431
19/05/1970 12:00,6.2799,2.98625
20/05/1970 12:00,6.25887,2.97751
21/05/1970 12:00,6.25561,2.97114
22/05/1970 12:00,6.28652,2.97009
23/05/1970 12:00,6.31595,2.9733
24/05/1970 12:00,6.30512,2.98226
25/05/1970 12:00,6.27123,2.97047
26/05/1970 12:00,6.2362,2.96665
27/05/1970 12:00,6.20391,2.9555
28/05/1970 12:00,6.17857,2.94806
29/05/1970 12:00,6.13461,2.9385
30/05/1970 12:00,6.1447,2.93205
31/05/1970 12:00,6.10946,2.92313
01/06/1970 12:00,6.07792,2.91234
02/06/1970 12:00,6.03502,2.90193
03/06/1970 12:00,5.99881,2.88577
04/06/1970 12:00,5.93988,2.86529
05/06/1970 12:00,5.89985,2.85142
06/06/1970 12:00,5.84974,2.83684
07/06/1970 12:00,5.80893,2.82111
08/06/1970 12:00,5.77824,2.81276
09/06/1970 12:00,5.73957,2.79349
10/06/1970 12:00,5.71806,2.78704
11/06/1970 12:00,5.6903,2.7789
12/06/1970 12:00,5.66079,2.77029
13/06/1970 12:00,5.64045,2.76565
14/06/1970 12:00,5.61972,2.7614
15/06/1970 12:00,5.59437,2.75495
16/06/1970 12:00,5.58142,2.75041
17/06/1970 12:00,5.56387,2.74533
18/06/1970 12:00,5.53858,2.73697
19/06/1970 12:00,5.51797,2.7311
20/06/1970 12:00,5.50021,2.72722
21/06/1970 12:00,5.48441,2.72236
22/06/1970 12:00,5.46813,2.7175
23/06/1970 12:00,5.45654,2.71268
24/06/1970 12:00,5.43683,2.70704
25/06/1970 12:00,5.43401,2.70695
26/06/1970 12:00,5.4535,2.70506
27/06/1970 12:00,5.44831,2.70376
28/06/1970 12:00,5.43287,2.69756
29/06/1970 12:00,5.42177,2.69107
30/06/1970 12:00,5.42239,2.68939
01/07/1970 12:00,5.45886,2.69081
02/07/1970 12:00,5.47891,2.69149
03/07/1970 12:00,5.50047,2.70856
04/07/1970 12:00,5.49945,2.7098
05/07/1970 12:00,5.49785,2.7188
06/07/1970 12:00,5.48531,2.72252
07/07/1970 12:00,5.46106,2.71676
08/07/1970 12:00,5.42811,2.71211
09/07/1970 12:00,5.39871,2.70525
10/07/1970 12:00,5.3775,2.6972
11/07/1970 12:00,5.36598,2.68619
12/07/1970 12:00,5.38128,2.67852
13/07/1970 12:00,5.38094,2.67425
14/07/1970 12:00,5.36599,2.66928
15/07/1970 12:00,5.36391,2.66775
16/07/1970 12:00,5.37726,2.66658
17/07/1970 12:00,5.35453,2.65703
18/07/1970 12:00,5.33843,2.65097
19/07/1970 12:00,5.32509,2.64338
20/07/1970 12:00,5.31086,2.64001
21/07/1970 12:00,5.31656,2.63561
22/07/1970 12:00,5.30386,2.6316
23/07/1970 12:00,5.28223,2.62289
24/07/1970 12:00,5.26188,2.61204
25/07/1970 12:00,5.26389,2.61226
26/07/1970 12:00,5.32992,2.61039
27/07/1970 12:00,5.38576,2.61911
28/07/1970 12:00,5.43706,2.64688
29/07/1970 12:00,5.44694,2.66325
30/07/1970 12:00,5.4498,2.68704
31/07/1970 12:00,5.42727,2.70314
01/08/1970 12:00,5.3791,2.69844
02/08/1970 12:00,5.3362,2.68411
03/08/1970 12:00,5.2903,2.66374
04/08/1970 12:00,5.24533,2.64209
05/08/1970 12:00,5.21245,2.62165
06/08/1970 12:00,5.17123,2.60429
07/08/1970 12:00,5.13717,2.5867
08/08/1970 12:00,5.11363,2.57333
09/08/1970 12:00,5.08924,2.56063
10/08/1970 12:00,5.07538,2.55199
11/08/1970 12:00,5.06975,2.53983
12/08/1970 12:00,5.07083,2.54167
13/08/1970 12:00,5.05814,2.53689
14/08/1970 12:00,5.03094,2.52137
15/08/1970 12:00,5.0192,2.5163
16/08/1970 12:00,5.00251,2.51053
17/08/1970 12:00,4.98231,2.50131
18/08/1970 12:00,4.99406,2.5069
19/08/1970 12:00,4.99187,2.50564
20/08/1970 12:00,5.00298,2.50507
21/08/1970 12:00,4.99678,2.50007
22/08/1970 12:00,4.97135,2.49347
23/08/1970 12:00,4.94208,2.48116
24/08/1970 12:00,4.92661,2.47544
25/08/1970 12:00,4.91158,2.46836
26/08/1970 12:00,4.874,2.45015
27/08/1970 12:00,4.86603,2.44606
28/08/1970 12:00,4.85485,2.44169
29/08/1970 12:00,4.84875,2.44028
30/08/1970 12:00,4.83842,2.43533
31/08/1970 12:00,4.81944,2.43163
01/09/1970 12:00,4.80356,2.42928
02/09/1970 12:00,4.82608,2.42806
03/09/1970 12:00,4.83444,2.42657
04/09/1970 12:00,4.84016,2.42923
05/09/1970 12:00,4.85341,2.4359
06/09/1970 12:00,4.87039,2.44126
07/09/1970 12:00,4.88536,2.4468
08/09/1970 12:00,4.8908,2.45439
09/09/1970 12:00,4.88668,2.45294
10/09/1970 12:00,4.90599,2.45031
11/09/1970 12:00,4.9365,2.46014
12/09/1970 12:00,4.96441,2.46923
13/09/1970 12:00,4.96993,2.47696
14/09/1970 12:00,5.0247,2.49268
15/09/1970 12:00,5.07351,2.51258
16/09/1970 12:00,5.094,2.53272
17/09/1970 12:00,5.13683,2.55678
18/09/1970 12:00,5.30998,2.58329
19/09/1970 12:00,5.35001,2.61453
20/09/1970 12:00,5.32743,2.63358
21/09/1970 12:00,5.252,2.62199
22/09/1970 12:00,5.22374,2.61092
23/09/1970 12:00,5.16054,2.58338
24/09/1970 12:00,5.10858,2.56304
25/09/1970 12:00,5.06925,2.5385
26/09/1970 12:00,5.02603,2.5166
27/09/1970 12:00,5.0067,2.50333
28/09/1970 12:00,4.97251,2.48438
29/09/1970 12:00,4.93022,2.46729
30/09/1970 12:00,4.9135,2.45718
01/10/1970 12:00,4.9223,2.44054
02/10/1970 12:00,4.94015,2.43978
03/10/1970 12:00,4.98023,2.44199
04/10/1970 12:00,5.01976,2.45819
05/10/1970 12:00,5.04832,2.47086
06/10/1970 12:00,5.12125,2.47414
07/10/1970 12:00,5.19145,2.49377
08/10/1970 12:00,5.19776,2.51008
09/10/1970 12:00,5.20266,2.52075
10/10/1970 12:00,5.21415,2.51765
11/10/1970 12:00,5.16611,2.50851
12/10/1970 12:00,5.12425,2.49698
13/10/1970 12:00,5.08582,2.48538
14/10/1970 12:00,5.05704,2.47381
15/10/1970 12:00,5.0492,2.46471
16/10/1970 12:00,5.01633,2.44605
17/10/1970 12:00,4.99859,2.43558
18/10/1970 12:00,4.96197,2.41985
19/10/1970 12:00,4.93112,2.41088
20/10/1970 12:00,5.03902,2.41191
21/10/1970 12:00,5.07856,2.42822
22/10/1970 12:00,5.08367,2.44879
23/10/1970 12:00,5.0597,2.44813
24/10/1970 12:00,5.03957,2.44339
25/10/1970 12:00,5.02923,2.43782
26/10/1970 12:00,5.0202,2.43197
27/10/1970 12:00,5.04158,2.42674
28/10/1970 12:00,5.05179,2.42617
29/10/1970 12:00,5.08779,2.43426
30/10/1970 12:00,5.16271,2.44822
31/10/1970 12:00,5.21687,2.4669
01/11/1970 12:00,5.34368,2.48972
02/11/1970 12:00,5.49453,2.52816
03/11/1970 12:00,5.55687,2.58351
04/11/1970 12:00,5.55269,2.60442
05/11/1970 12:00,5.63835,2.61866
06/11/1970 12:00,5.73793,2.63303
07/11/1970 12:00,5.72252,2.63732
08/11/1970 12:00,5.63431,2.61968
09/11/1970 12:00,5.56019,2.60085
10/11/1970 12:00,5.74421,2.59118
11/11/1970 12:00,5.7932,2.60583
12/11/1970 12:00,5.79795,2.6089
13/11/1970 12:00,5.86989,2.6014
14/11/1970 12:00,5.88786,2.61128
15/11/1970 12:00,5.94189,2.66729
16/11/1970 12:00,5.87391,2.68093
17/11/1970 12:00,5.8494,2.67766
18/11/1970 12:00,5.77494,2.64687
19/11/1970 12:00,5.72921,2.61822
20/11/1970 12:00,5.75291,2.60341
21/11/1970 12:00,5.79453,2.59761
22/11/1970 12:00,5.81235,2.59133
23/11/1970 12:00,5.80195,2.58268
24/11/1970 12:00,5.74182,2.57002
25/11/1970 12:00,5.69996,2.54748
26/11/1970 12:00,5.64218,2.5193
27/11/1970 12:00,5.59527,2.49467
28/11/1970 12:00,5.5619,2.47738
29/11/1970 12:00,5.5317,2.46092
30/11/1970 12:00,5.54896,2.45206
01/12/1970 12:00,5.68365,2.4535
02/12/1970 12:00,5.96098,2.52768
03/12/1970 12:00,6.07186,2.60793
04/12/1970 12:00,6.25737,2.66818
05/12/1970 12:00,6.29534,2.71246
06/12/1970 12:00,6.35018,2.71977
07/12/1970 12:00,6.37596,2.73034
08/12/1970 12:00,6.46218,2.73385
09/12/1970 12:00,6.41122,2.73334
10/12/1970 12:00,6.31159,2.71271
11/12/1970 12:00,6.19451,2.68048
12/12/1970 12:00,6.09651,2.64484
13/12/1970 12:00,6.03906,2.6151
14/12/1970 12:00,5.99599,2.59001
15/12/1970 12:00,6.02431,2.577
16/12/1970 12:00,5.99678,2.56483
17/12/1970 12:00,5.97412,2.54948
18/12/1970 12:00,5.94914,2.53586
19/12/1970 12:00,5.94979,2.52668
20/12/1970 12:00,5.93938,2.5223
21/12/1970 12:00,5.9516,2.52201
22/12/1970 12:00,5.95868,2.53274
23/12/1970 12:00,5.95641,2.54196
24/12/1970 12:00,5.94005,2.54682
25/12/1970 12:00,5.91485,2.5434
26/12/1970 12:00,5.9037,2.53864
27/12/1970 12:00,5.87861,2.53378
28/12/1970 12:00,5.84341,2.52847
29/12/1970 12:00,5.83324,2.52318
30/12/1970 12:00,5.81647,2.51968
31/12/1970 12:00,5.81274,2.52636
01/01/1971 12:00,5.81311,2.52636
02/01/1971 12:00,5.80554,2.52546
03/01/1971 12:00,5.80742,2.52899
04/01/1971 12:00,5.79401,2.51718
05/01/1971 12:00,5.786,2.52165
06/01/1971 12:00,5.78692,2.51222
07/01/1971 12:00,5.87082,2.51097
08/01/1971 12:00,5.87527,2.52263
09/01/1971 12:00,5.97864,2.53698
10/01/1971 12:00,5.97802,2.5695
11/01/1971 12:00,5.96283,2.58573
12/01/1971 12:00,5.91168,2.58587
13/01/1971 12:00,5.85215,2.56638
14/01/1971 12:00,5.82796,2.56066
15/01/1971 12:00,5.80076,2.55601
16/01/1971 12:00,5.78477,2.55845
17/01/1971 12:00,5.77291,2.5532
18/01/1971 12:00,5.75943,2.55118
19/01/1971 12:00,5.76171,2.55441
20/01/1971 12:00,5.75393,2.55059
21/01/1971 12:00,5.79671,2.55774
22/01/1971 12:00,5.84908,2.56707
23/01/1971 12:00,5.84482,2.5748
24/01/1971 12:00,5.82543,2.57849
25/01/1971 12:00,5.99518,2.58693
26/01/1971 12:00,6.10583,2.61677
27/01/1971 12:00,6.21089,2.643
28/01/1971 12:00,6.2161,2.69216
29/01/1971 12:00,6.26745,2.72611
30/01/1971 12:00,6.26209,2.75947
31/01/1971 12:00,6.25826,2.77487
01/02/1971 12:00,6.26291,2.78275
02/02/1971 12:00,6.30311,2.78328
03/02/1971 12:00,6.22826,2.76813
04/02/1971 12:00,6.2272,2.75485
05/02/1971 12:00,6.15642,2.74014
06/02/1971 12:00,6.0887,2.72312
07/02/1971 12:00,6.02635,2.69871
08/02/1971 12:00,5.97173,2.6765
09/02/1971 12:00,5.92718,2.65797
10/02/1971 12:00,5.88253,2.64134
11/02/1971 12:00,5.84578,2.62632
12/02/1971 12:00,5.83106,2.61298
13/02/1971 12:00,5.83128,2.59817
14/02/1971 12:00,6.00322,2.61742
15/02/1971 12:00,6.13413,2.66358
16/02/1971 12:00,6.18833,2.70735
17/02/1971 12:00,6.16218,2.71992
18/02/1971 12:00,6.31912,2.74218
19/02/1971 12:00,6.31219,2.75361
20/02/1971 12:00,6.39799,2.76522
21/02/1971 12:00,6.34755,2.7677
22/02/1971 12:00,6.30806,2.76075
23/02/1971 12:00,6.22898,2.74852
24/02/1971 12:00,6.15709,2.73716
25/02/1971 12:00,6.15639,2.71914
26/02/1971 12:00,6.10579,2.70866
27/02/1971 12:00,6.06135,2.68726
28/02/1971 12:00,6.00782,2.67219
01/03/1971 12:00,5.96807,2.65583
02/03/1971 12:00,5.92887,2.64285
03/03/1971 12:00,5.90948,2.63233
04/03/1971 12:00,5.88494,2.62384
05/03/1971 12:00,5.8718,2.61565
06/03/1971 12:00,5.84164,2.61598
07/03/1971 12:00,5.82768,2.60724
08/03/1971 12:00,5.78259,2.58693
09/03/1971 12:00,5.76678,2.58176
10/03/1971 12:00,5.74078,2.57267
11/03/1971 12:00,5.75704,2.58079
12/03/1971 12:00,5.78924,2.58973
13/03/1971 12:00,5.78657,2.59344
14/03/1971 12:00,5.865,2.6024
15/03/1971 12:00,5.86284,2.61407
16/03/1971 12:00,5.85232,2.62051
17/03/1971 12:00,5.84708,2.62291
18/03/1971 12:00,5.8505,2.62764
19/03/1971 12:00,5.9647,2.66115
20/03/1971 12:00,6.08014,2.70292
21/03/1971 12:00,6.06835,2.72519
22/03/1971 12:00,6.04435,2.72031
23/03/1971 12:00,5.97857,2.7066
24/03/1971 12:00,5.91174,2.68563
25/03/1971 12:00,5.9151,2.66724
26/03/1971 12:00,5.98531,2.6643
27/03/1971 12:00,5.9657,2.66576
28/03/1971 12:00,5.97552,2.66694
29/03/1971 12:00,5.93062,2.66512
30/03/1971 12:00,5.84917,2.64091
31/03/1971 12:00,5.81488,2.63523
01/04/1971 12:00,5.77292,2.60894
02/04/1971 12:00,5.89892,2.61855
03/04/1971 12:00,5.91259,2.63038
04/04/1971 12:00,5.90098,2.63527
05/04/1971 12:00,5.8749,2.63714
06/04/1971 12:00,5.8592,2.63776
07/04/1971 12:00,5.81878,2.63527
08/04/1971 12:00,5.80972,2.63556
09/04/1971 12:00,5.7916,2.63633
10/04/1971 12:00,5.74501,2.62583
11/04/1971 12:00,5.701,2.62038
12/04/1971 12:00,5.62734,2.60056
13/04/1971 12:00,5.55875,2.58293
14/04/1971 12:00,5.51438,2.56503
15/04/1971 12:00,5.48588,2.55097
16/04/1971 12:00,5.48217,2.54437
17/04/1971 12:00,5.47153,2.53861
18/04/1971 12:00,5.48797,2.53434
19/04/1971 12:00,5.48828,2.53766
20/04/1971 12:00,5.44759,2.53294
21/04/1971 12:00,5.42279,2.53117
22/04/1971 12:00,5.37357,2.51928
23/04/1971 12:00,5.33588,2.50691
24/04/1971 12:00,5.2984,2.49829
25/04/1971 12:00,5.27681,2.49148
26/04/1971 12:00,5.26867,2.4856
27/04/1971 12:00,5.26037,2.48205
28/04/1971 12:00,5.24255,2.47825
29/04/1971 12:00,5.25254,2.47714
30/04/1971 12:00,5.30227,2.48573
01/05/1971 12:00,5.31568,2.49828
02/05/1971 12:00,5.297,2.50925
03/05/1971 12:00,5.27051,2.5099
04/05/1971 12:00,5.24965,2.50436
05/05/1971 12:00,5.22416,2.49327
06/05/1971 12:00,5.18277,2.48169
07/05/1971 12:00,5.14201,2.47025
08/05/1971 12:00,5.09647,2.45406
09/05/1971 12:00,5.07571,2.4435
10/05/1971 12:00,5.04315,2.43435
11/05/1971 12:00,5.03405,2.42791
12/05/1971 12:00,5.01505,2.42157
13/05/1971 12:00,5.00397,2.42271
14/05/1971 12:00,5.06538,2.43509
15/05/1971 12:00,5.06488,2.43211
16/05/1971 12:00,5.08522,2.43587
17/05/1971 12:00,5.16834,2.43889
18/05/1971 12:00,5.24158,2.44209
19/05/1971 12:00,5.3028,2.4479
20/05/1971 12:00,5.26723,2.45485
21/05/1971 12:00,5.21184,2.45314
22/05/1971 12:00,5.17556,2.45704
23/05/1971 12:00,5.13349,2.4541
24/05/1971 12:00,5.08594,2.4442
25/05/1971 12:00,5.06419,2.43568
26/05/1971 12:00,5.06531,2.43507
27/05/1971 12:00,5.04393,2.42461
28/05/1971 12:00,5.0212,2.41928
29/05/1971 12:00,5.01807,2.41827
30/05/1971 12:00,5.10632,2.42937
31/05/1971 12:00,5.221,2.43754
01/06/1971 12:00,5.19972,2.45936
02/06/1971 12:00,5.14265,2.4825
03/06/1971 12:00,5.07966,2.47357
04/06/1971 12:00,5.00363,2.4519
05/06/1971 12:00,4.95549,2.42877
06/06/1971 12:00,4.90888,2.41148
07/06/1971 12:00,4.88198,2.39526
08/06/1971 12:00,4.84992,2.38465
09/06/1971 12:00,4.84298,2.38056
10/06/1971 12:00,4.84295,2.37925
11/06/1971 12:00,4.82083,2.37093
12/06/1971 12:00,4.80784,2.35993
13/06/1971 12:00,4.78973,2.35849
14/06/1971 12:00,4.77629,2.35603
15/06/1971 12:00,4.77176,2.35428
16/06/1971 12:00,4.75373,2.34687
17/06/1971 12:00,4.74084,2.33557
18/06/1971 12:00,4.73671,2.3359
19/06/1971 12:00,4.73605,2.33498
20/06/1971 12:00,4.74775,2.33835
21/06/1971 12:00,4.76508,2.34905
22/06/1971 12:00,4.80684,2.36053
23/06/1971 12:00,4.87753,2.38092
24/06/1971 12:00,4.92088,2.4166
25/06/1971 12:00,4.92874,2.44013
26/06/1971 12:00,4.91708,2.44739
27/06/1971 12:00,4.9004,2.44339
28/06/1971 12:00,4.88422,2.43632
29/06/1971 12:00,4.87474,2.4261
30/06/1971 12:00,4.89535,2.43321
01/07/1971 12:00,4.87759,2.43498
02/07/1971 12:00,4.82492,2.41292
03/07/1971 12:00,4.75962,2.39327
04/07/1971 12:00,4.71786,2.36883
05/07/1971 12:00,4.68436,2.34999
06/07/1971 12:00,4.65359,2.33267
07/07/1971 12:00,4.62244,2.31812
08/07/1971 12:00,4.59514,2.3046
09/07/1971 12:00,4.56332,2.29115
10/07/1971 12:00,4.54274,2.28467
11/07/1971 12:00,4.51819,2.26715
12/07/1971 12:00,4.50063,2.26081
13/07/1971 12:00,4.49125,2.26122
14/07/1971 12:00,4.47704,2.25554
15/07/1971 12:00,4.47549,2.25545
16/07/1971 12:00,4.4916,2.2645
17/07/1971 12:00,4.49626,2.26336
18/07/1971 12:00,4.49009,2.2607
19/07/1971 12:00,4.48812,2.26001
20/07/1971 12:00,4.48239,2.26147
21/07/1971 12:00,4.46873,2.26079
22/07/1971 12:00,4.45887,2.25807
23/07/1971 12:00,4.46629,2.25928
24/07/1971 12:00,4.46913,2.26323
25/07/1971 12:00,4.46834,2.26333
26/07/1971 12:00,4.48327,2.26295
27/07/1971 12:00,4.49902,2.26617
28/07/1971 12:00,4.50166,2.26646
29/07/1971 12:00,4.50469,2.26862
30/07/1971 12:00,4.50074,2.26673
31/07/1971 12:00,4.54489,2.27713
01/08/1971 12:00,4.64459,2.31501
02/08/1971 12:00,4.63328,2.32186
03/08/1971 12:00,4.61214,2.33014
04/08/1971 12:00,4.57329,2.32082
05/08/1971 12:00,4.57747,2.31397
06/08/1971 12:00,4.5808,2.30187
07/08/1971 12:00,4.76534,2.30384
08/08/1971 12:00,4.83674,2.35418
09/08/1971 12:00,5.02107,2.40753
10/08/1971 12:00,5.08021,2.47064
11/08/1971 12:00,5.04721,2.4863
12/08/1971 12:00,5.02726,2.49238
13/08/1971 12:00,5.086,2.49353
14/08/1971 12:00,5.0878,2.50964
15/08/1971 12:00,5.08804,2.51113
16/08/1971 12:00,5.06156,2.50335
17/08/1971 12:00,5.02058,2.49285
18/08/1971 12:00,4.94389,2.46962
19/08/1971 12:00,4.85287,2.43546
20/08/1971 12:00,4.78529,2.40229
21/08/1971 12:00,4.72293,2.36939
22/08/1971 12:00,4.66646,2.34126
23/08/1971 12:00,4.60736,2.31068
24/08/1971 12:00,4.5627,2.28228
25/08/1971 12:00,4.53215,2.2686
26/08/1971 12:00,4.49813,2.25248
27/08/1971 12:00,4.47479,2.23858
28/08/1971 12:00,4.46407,2.23182
29/08/1971 12:00,4.45071,2.22604
30/08/1971 12:00,4.45408,2.22219
31/08/1971 12:00,4.48015,2.22488
01/09/1971 12:00,4.51043,2.22895
02/09/1971 12:00,4.50765,2.22985
03/09/1971 12:00,4.53047,2.23016
04/09/1971 12:00,4.53175,2.23198
05/09/1971 12:00,4.51464,2.22899
06/09/1971 12:00,4.53716,2.23217
07/09/1971 12:00,4.53773,2.24234
08/09/1971 12:00,4.5199,2.24169
09/09/1971 12:00,4.48919,2.23519
10/09/1971 12:00,4.47364,2.22822
11/09/1971 12:00,4.44214,2.21303
12/09/1971 12:00,4.43199,2.20461
13/09/1971 12:00,4.42324,2.19587
14/09/1971 12:00,4.4121,2.19487
15/09/1971 12:00,4.39383,2.18763
16/09/1971 12:00,4.3872,2.18486
17/09/1971 12:00,4.37743,2.17689
18/09/1971 12:00,4.38485,2.17836
19/09/1971 12:00,4.42658,2.18203
20/09/1971 12:00,4.44894,2.19558
21/09/1971 12:00,4.44961,2.20387
22/09/1971 12:00,4.44001,2.19999
23/09/1971 12:00,4.43423,2.19814
24/09/1971 12:00,4.41261,2.18689
25/09/1971 12:00,4.43117,2.20048
26/09/1971 12:00,4.46443,2.21986
27/09/1971 12:00,4.46968,2.23256
28/09/1971 12:00,4.45008,2.22041
29/09/1971 12:00,4.45061,2.2234
30/09/1971 12:00,4.42397,2.20464
01/10/1971 12:00,4.42844,2.20537
02/10/1971 12:00,4.41806,2.19829
03/10/1971 12:00,4.41828,2.20054
04/10/1971 12:00,4.4,2.1967
05/10/1971 12:00,4.3905,2.19173
06/10/1971 12:00,4.38327,2.18646
07/10/1971 12:00,4.37365,2.18025
08/10/1971 12:00,4.36734,2.17501
09/10/1971 12:00,4.35975,2.1706
10/10/1971 12:00,4.37282,2.17194
11/10/1971 12:00,4.38709,2.17067
12/10/1971 12:00,4.40603,2.17578
