Time,Obs_5,Obs_35,Obs_37,Obs_65
03/12/1970 00:00,63.703,43.313,35.666,27.505
10/12/1970 00:00,64.106,43.597,35.773,27.241
17/12/1970 00:00,63.848,43.496,35.648,27.266
24/12/1970 00:00,64.236,43.78,35.598,27.533
31/12/1970 00:00,64.348,43.526,35.676,27.268
07/01/1971 00:00,64.275,43.71,35.516,27.173
14/01/1971 00:00,64.259,43.578,35.708,27.233
21/01/1971 00:00,64.132,43.692,35.502,27.219
28/01/1971 00:00,64.359,43.727,35.733,27.303
04/02/1971 00:00,64.132,43.747,35.582,27.146
11/02/1971 00:00,64.471,43.73,35.619,27.111
18/02/1971 00:00,64.376,43.968,35.691,27.178
25/02/1971 00:00,64.389,43.839,35.715,27.107
04/03/1971 00:00,64.44,43.858,35.522,27.006
11/03/1971 00:00,64.176,43.666,35.455,27.144
18/03/1971 00:00,64.382,43.535,35.474,26.992
25/03/1971 00:00,64.328,43.656,35.402,27.031
01/04/1971 00:00,64.44,43.595,35.454,27.035
08/04/1971 00:00,64.245,43.843,35.251,26.921
15/04/1971 00:00,64.535,43.713,-999,27.151
22/04/1971 00:00,64.624,-999,-999,26.817
29/04/1971 00:00,64.481,-999,-999,27.004
06/05/1971 00:00,64.413,-999,-999,26.999
13/05/1971 00:00,64.478,-999,-999,26.953
20/05/1971 00:00,-999,-999,-999,26.855
27/05/1971 00:00,-999,-999,-999,26.681
03/06/1971 00:00,-999,-999,-999,26.693
10/06/1971 00:00,-999,-999,-999,26.522
17/06/1971 00:00,-999,-999,-999,26.624
24/06/1971 00:00,-999,43.158,-999,26.685
01/07/1971 00:00,-999,43.209,-999,26.638
08/07/1971 00:00,-999,42.964,-999,26.763
15/07/1971 00:00,-999,43.182,-999,26.548
22/07/1971 00:00,64.382,43.077,-999,26.547
29/07/1971 00:00,64.131,42.96,-999,26.509
05/08/1971 00:00,64.153,43.141,-999,26.764
12/08/1971 00:00,64.117,42.983,-999,26.667
19/08/1971 00:00,64.341,42.993,-999,26.752
26/08/1971 00:00,64.203,43.003,-999,26.602
02/09/1971 00:00,64.138,43.051,-999,26.61
09/09/1971 00:00,63.929,43.112,34.964,26.883
16/09/1971 00:00,64.137,42.998,35.065,26.539
23/09/1971 00:00,64.149,42.844,35.02,26.506
30/09/1971 00:00,64.071,42.707,35.095,26.734
07/10/1971 00:00,64.252,42.882,35.219,26.826
14/10/1971 00:00,64.233,42.59,35.301,26.963
21/10/1971 00:00,64.159,42.744,35.463,27.142
28/10/1971 00:00,63.983,43.029,35.314,27.01
04/11/1971 00:00,64.17,43.128,35.5,26.896
11/11/1971 00:00,63.91,42.937,35.37,26.935
18/11/1971 00:00,64.209,42.821,35.52,27.182
25/11/1971 00:00,64.198,42.846,35.381,27.12
02/12/1971 00:00,64.197,42.919,35.459,26.97
09/12/1971 00:00,63.944,43.174,35.271,26.965
16/12/1971 00:00,64.05,43.109,35.52,27.013
23/12/1971 00:00,64.194,42.912,35.38,27.178
30/12/1971 00:00,64.143,42.873,35.346,26.781
06/01/1972 00:00,64.371,43.057,35.305,27.1
13/01/1972 00:00,64.326,42.887,35.303,27.09
20/01/1972 00:00,64.164,43.003,35.327,26.972
27/01/1972 00:00,64.142,43.112,35.318,26.704
03/02/1972 00:00,64.208,42.943,35.43,26.803
10/02/1972 00:00,64.437,42.813,35.415,26.634
17/02/1972 00:00,-999,42.882,35.253,26.963
24/02/1972 00:00,-999,42.899,35.305,26.859
02/03/1972 00:00,-999,42.925,35.161,26.64
09/03/1972 00:00,64.347,42.913,35.39,26.717
16/03/1972 00:00,64.268,43.011,35.581,26.755
23/03/1972 00:00,64.241,42.659,35.488,26.712
30/03/1972 00:00,64.084,42.847,35.3,26.799
06/04/1972 00:00,64.391,42.895,35.249,26.713
13/04/1972 00:00,64.315,42.67,35.165,26.529
20/04/1972 00:00,64.075,42.66,35.352,26.764
27/04/1972 00:00,63.967,42.961,35.276,26.552
04/05/1972 00:00,64.141,42.765,35.244,26.624
11/05/1972 00:00,64.248,42.799,35.17,26.625
18/05/1972 00:00,64.273,42.773,35.224,26.659
25/05/1972 00:00,64.173,42.845,35.263,26.488
01/06/1972 00:00,64.361,42.913,35.147,26.769
08/06/1972 00:00,64.116,42.792,35.252,26.511
15/06/1972 00:00,64.28,42.901,35.379,26.642
22/06/1972 00:00,64.141,42.73,35.127,26.582
29/06/1972 00:00,64.134,42.663,35.176,26.635
06/07/1972 00:00,64.149,42.653,35.084,26.574
13/07/1972 00:00,64.031,42.663,34.894,26.534
20/07/1972 00:00,64.075,42.535,34.808,26.296
27/07/1972 00:00,64.105,42.642,35.062,26.349
03/08/1972 00:00,64.159,42.574,35.075,26.456
10/08/1972 00:00,64.083,42.547,34.866,26.542
17/08/1972 00:00,64.104,42.721,34.844,26.474
24/08/1972 00:00,63.976,42.492,34.963,26.525
31/08/1972 00:00,64.021,42.723,34.699,26.291
07/09/1972 00:00,63.797,42.705,34.798,-999
14/09/1972 00:00,63.876,42.576,34.911,-999
21/09/1972 00:00,63.915,42.577,34.886,-999
28/09/1972 00:00,63.766,42.684,34.696,26.13
05/10/1972 00:00,64.072,42.577,34.845,26.06
12/10/1972 00:00,64.044,42.315,34.827,26.331
19/10/1972 00:00,63.894,42.442,34.783,26.1
26/10/1972 00:00,63.784,42.402,35.11,26.116
02/11/1972 00:00,63.985,42.536,35.257,26.153
09/11/1972 00:00,63.738,42.474,35.339,26.754
16/11/1972 00:00,63.873,42.451,35.572,26.822
23/11/1972 00:00,63.589,42.515,35.4,26.869
30/11/1972 00:00,63.776,42.783,35.294,26.636
07/12/1972 00:00,63.75,42.889,35.401,26.635
14/12/1972 00:00,63.59,42.805,35.521,26.748
21/12/1972 00:00,63.516,42.998,35.538,26.76
28/12/1972 00:00,63.79,42.633,35.385,26.703
04/01/1973 00:00,63.827,42.839,35.676,26.473
11/01/1973 00:00,63.962,42.654,35.654,26.552
18/01/1973 00:00,64.172,42.935,35.466,26.911
25/01/1973 00:00,63.937,42.861,35.663,26.902
01/02/1973 00:00,63.934,42.625,35.329,26.839
08/02/1973 00:00,63.931,42.859,35.358,26.793
15/02/1973 00:00,63.98,42.747,35.38,26.73
22/02/1973 00:00,63.832,43.016,35.262,26.919
01/03/1973 00:00,64.021,42.613,35.194,26.533
08/03/1973 00:00,63.706,42.748,35.45,26.682
15/03/1973 00:00,63.925,42.76,35.415,26.494
22/03/1973 00:00,64.02,42.574,35.423,26.831
29/03/1973 00:00,63.843,42.802,35.256,26.556
05/04/1973 00:00,64.035,42.582,35.281,26.62
12/04/1973 00:00,63.899,42.674,35.086,26.585
19/04/1973 00:00,64.065,42.719,35.177,26.708
26/04/1973 00:00,63.982,42.692,35.317,26.555
03/05/1973 00:00,63.978,42.635,35.143,26.515
10/05/1973 00:00,64.082,42.647,35.153,26.433
17/05/1973 00:00,63.869,42.586,35.222,26.577
24/05/1973 00:00,63.955,42.562,35.061,26.369
31/05/1973 00:00,63.737,42.525,35.015,26.46
07/06/1973 00:00,64.059,42.513,35.009,26.246
14/06/1973 00:00,63.934,42.288,34.919,26.153
21/06/1973 00:00,63.86,42.254,34.733,25.995
28/06/1973 00:00,63.91,42.362,34.779,26.073
05/07/1973 00:00,-999,42.375,34.672,26.039
12/07/1973 00:00,-999,42.519,34.755,25.888
19/07/1973 00:00,-999,42.293,34.816,26.041
26/07/1973 00:00,-999,42.259,34.659,25.935
02/08/1973 00:00,-999,42.138,34.608,26.026
09/08/1973 00:00,63.691,42.217,34.62,25.72
16/08/1973 00:00,63.606,42.261,34.457,25.692
23/08/1973 00:00,63.933,42.105,34.557,25.901
30/08/1973 00:00,63.713,42.169,34.634,25.753
06/09/1973 00:00,63.648,42.113,34.554,25.673
