Time,observed_karup_at_hagebro,observed_karup_at_karup
01/12/1970 00:00,5.88512,2.42054
02/12/1970 00:00,6.19588,2.40236
03/12/1970 00:00,6.286,2.55328
04/12/1970 00:00,6.43513,2.58316
05/12/1970 00:00,6.59381,2.63749
06/12/1970 00:00,6.61446,2.65927
07/12/1970 00:00,6.6618,2.63871
08/12/1970 00:00,6.60592,2.67122
09/12/1970 00:00,6.58807,2.61217
10/12/1970 00:00,6.4209,2.67072
11/12/1970 00:00,6.33054,2.64009
12/12/1970 00:00,6.35975,2.57453
13/12/1970 00:00,6.2253,2.61277
14/12/1970 00:00,6.23309,2.6033
15/12/1970 00:00,6.2141,2.59217
16/12/1970 00:00,6.33032,2.51037
17/12/1970 00:00,6.08674,2.57842
18/12/1970 00:00,6.24201,2.552
19/12/1970 00:00,6.22201,2.55517
20/12/1970 00:00,6.22095,2.50369
21/12/1970 00:00,6.04486,2.55466
22/12/1970 00:00,6.23229,2.52009
23/12/1970 00:00,6.05562,2.51997
24/12/1970 00:00,6.06545,2.50264
25/12/1970 00:00,6.02674,2.54956
26/12/1970 00:00,6.0153,2.54418
27/12/1970 00:00,6.0379,2.53261
28/12/1970 00:00,6.08137,2.49306
29/12/1970 00:00,5.95989,2.51813
30/12/1970 00:00,5.97752,2.55093
31/12/1970 00:00,5.9082,2.52684
01/01/1971 00:00,6.04123,2.50245
02/01/1971 00:00,6.09719,2.57565
03/01/1971 00:00,5.99015,2.54105
04/01/1971 00:00,5.98147,2.51048
05/01/1971 00:00,6.09134,2.57533
06/01/1971 00:00,5.98904,2.55663
07/01/1971 00:00,6.09003,2.59409
08/01/1971 00:00,6.08343,2.55934
09/01/1971 00:00,6.19665,2.56643
10/01/1971 00:00,6.16773,2.61466
11/01/1971 00:00,6.27728,2.58819
12/01/1971 00:00,6.12981,2.61011
13/01/1971 00:00,6.14294,2.55977
14/01/1971 00:00,6.08995,2.61901
15/01/1971 00:00,6.09945,2.58535
16/01/1971 00:00,6.01782,2.60062
17/01/1971 00:00,6.03532,2.56337
18/01/1971 00:00,6.02844,2.56721
19/01/1971 00:00,5.97425,2.59423
20/01/1971 00:00,6.03163,2.58176
21/01/1971 00:00,5.94467,2.59402
22/01/1971 00:00,5.95132,2.6077
23/01/1971 00:00,6.06445,2.61444
24/01/1971 00:00,6.10759,2.5802
25/01/1971 00:00,6.13438,2.63116
26/01/1971 00:00,6.3389,2.56731
27/01/1971 00:00,6.34761,2.66584
28/01/1971 00:00,6.3722,2.62944
29/01/1971 00:00,6.3266,2.69112
30/01/1971 00:00,6.48489,2.6848
31/01/1971 00:00,6.30005,2.72592
01/02/1971 00:00,6.33712,2.6981
02/02/1971 00:00,6.34271,2.68387
03/02/1971 00:00,6.27634,2.68208
04/02/1971 00:00,6.41906,2.69202
05/02/1971 00:00,6.24113,2.72055
06/02/1971 00:00,6.15047,2.70713
07/02/1971 00:00,6.06483,2.69854
08/02/1971 00:00,6.00391,2.66312
09/02/1971 00:00,5.99362,2.64971
10/02/1971 00:00,6.03465,2.58059
11/02/1971 00:00,6.09666,2.63026
12/02/1971 00:00,5.97491,2.55918
13/02/1971 00:00,5.82572,2.54827
14/02/1971 00:00,6.10991,2.60939
15/02/1971 00:00,6.25883,2.61004
16/02/1971 00:00,6.1586,2.64371
17/02/1971 00:00,6.35995,2.68006
18/02/1971 00:00,6.22711,2.64843
19/02/1971 00:00,6.42576,2.73863
20/02/1971 00:00,6.35624,2.73083
21/02/1971 00:00,6.54434,2.67754
22/02/1971 00:00,6.50339,2.68409
23/02/1971 00:00,6.28378,2.68351
24/02/1971 00:00,6.21786,2.72779
25/02/1971 00:00,6.25727,2.64987
26/02/1971 00:00,6.22796,2.67189
27/02/1971 00:00,6.12068,2.64118
28/02/1971 00:00,6.19071,2.59568
01/03/1971 00:00,6.08795,2.59322
02/03/1971 00:00,6.14888,2.54754
03/03/1971 00:00,5.82406,2.55632
04/03/1971 00:00,6.07586,2.53534
05/03/1971 00:00,5.94852,2.54248
06/03/1971 00:00,5.84164,2.60255
07/03/1971 00:00,5.81968,2.51671
08/03/1971 00:00,5.8248,2.57192
09/03/1971 00:00,5.78498,2.51058
10/03/1971 00:00,5.89236,2.54583
11/03/1971 00:00,5.77288,2.54123
12/03/1971 00:00,5.65434,2.53248
13/03/1971 00:00,5.72611,2.57746
14/03/1971 00:00,6.00323,2.57187
15/03/1971 00:00,5.95208,2.57769
16/03/1971 00:00,5.94567,2.61082
17/03/1971 00:00,5.88761,2.61541
18/03/1971 00:00,6.08286,2.55272
19/03/1971 00:00,6.0512,2.59907
20/03/1971 00:00,6.13264,2.64053
21/03/1971 00:00,5.96408,2.66212
22/03/1971 00:00,6.15003,2.60566
23/03/1971 00:00,6.05591,2.66687
24/03/1971 00:00,6.12179,2.6359
25/03/1971 00:00,5.83712,2.57604
26/03/1971 00:00,6.05455,2.56443
27/03/1971 00:00,5.99545,2.56696
28/03/1971 00:00,6.14466,2.59973
29/03/1971 00:00,5.817,2.63151
30/03/1971 00:00,5.97334,2.57476
31/03/1971 00:00,6.04444,2.57099
01/04/1971 00:00,5.94515,2.55232
02/04/1971 00:00,5.92843,2.51205
03/04/1971 00:00,5.75683,2.57538
04/04/1971 00:00,6.01524,2.52252
05/04/1971 00:00,5.83652,2.5518
06/04/1971 00:00,5.86054,2.5487
07/04/1971 00:00,5.70091,2.52576
08/04/1971 00:00,5.80041,2.57814
09/04/1971 00:00,5.62709,2.5598
10/04/1971 00:00,5.88567,2.57816
11/04/1971 00:00,5.80768,2.5064
12/04/1971 00:00,5.84497,2.49883
13/04/1971 00:00,5.43219,2.56091
14/04/1971 00:00,5.78874,2.54418
15/04/1971 00:00,5.45646,2.46672
16/04/1971 00:00,5.50924,2.4755
17/04/1971 00:00,5.56109,2.52557
18/04/1971 00:00,5.62716,2.49567
19/04/1971 00:00,5.53507,2.48839
20/04/1971 00:00,5.50438,2.50465
21/04/1971 00:00,5.69781,2.48903
22/04/1971 00:00,5.21179,2.50897
23/04/1971 00:00,5.19886,2.50022
24/04/1971 00:00,5.37871,2.43189
25/04/1971 00:00,5.26818,2.451
26/04/1971 00:00,5.55633,2.46575
27/04/1971 00:00,5.25799,2.39644
28/04/1971 00:00,5.15854,2.44111
29/04/1971 00:00,5.43567,2.46584
30/04/1971 00:00,5.11194,2.47365
01/05/1971 00:00,5.08059,2.40229
02/05/1971 00:00,5.14603,2.39747
03/05/1971 00:00,5.35389,2.45136
04/05/1971 00:00,5.22573,2.42916
05/05/1971 00:00,5.06513,2.40242
06/05/1971 00:00,5.31191,2.38966
07/05/1971 00:00,5.13519,2.42086
08/05/1971 00:00,5.27901,2.43227
09/05/1971 00:00,5.27095,2.42179
10/05/1971 00:00,5.32026,2.3807
11/05/1971 00:00,5.11411,2.35445
12/05/1971 00:00,5.07966,2.38668
13/05/1971 00:00,5.13182,2.40157
14/05/1971 00:00,5.29098,2.38612
15/05/1971 00:00,5.37148,2.4047
16/05/1971 00:00,5.17037,2.37238
17/05/1971 00:00,5.04157,2.33941
18/05/1971 00:00,5.54274,2.39242
19/05/1971 00:00,5.48489,2.37356
20/05/1971 00:00,5.19708,2.41428
21/05/1971 00:00,5.483,2.36086
22/05/1971 00:00,5.38682,2.37356
23/05/1971 00:00,4.96932,2.42401
24/05/1971 00:00,5.14762,2.37576
25/05/1971 00:00,5.07525,2.35339
26/05/1971 00:00,4.99352,2.39976
27/05/1971 00:00,4.95502,2.36802
28/05/1971 00:00,4.8499,2.35269
29/05/1971 00:00,4.8401,2.34037
30/05/1971 00:00,5.27206,2.38568
31/05/1971 00:00,5.2696,2.37501
